model,case,repeat_id,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
GPT-5.2,Hydrogenolysis,repeat_01,0.891025,0.884615,-0.00641,0.932692,0.913461,-0.019231
GPT-5.2,Hydrogenolysis,repeat_02,0.788462,0.923077,0.134615,0.913462,0.932692,0.01923
GPT-5.2,Hydrogenolysis,repeat_03,0.852564,0.878205,0.025641,0.923077,0.923077,0.0
GPT-5.2,Photochemical oxidation,repeat_01,0.897436,0.00641,-0.891026,0.990385,0.0,-0.990385
GPT-5.2,Photochemical oxidation,repeat_02,0.929487,0.942308,0.012821,0.971154,0.961539,-0.009615
GPT-5.2,Photochemical oxidation,repeat_03,0.948718,0.916667,-0.032051,0.971154,0.961539,-0.009615
GPT-5.2,CuAAC,repeat_01,0.965278,0.958333,-0.006945,0.979167,0.979167,0.0
GPT-5.2,CuAAC,repeat_02,0.951389,0.958333,0.006944,0.979167,0.979167,0.0
GPT-5.2,CuAAC,repeat_03,0.958333,0.958333,0.0,1.0,0.96875,-0.03125
GPT-5.4 mini,Hydrogenolysis,repeat_01,0.698718,0.884615,0.185897,0.846154,0.951923,0.105769
GPT-5.4 mini,Hydrogenolysis,repeat_02,0.685897,0.865385,0.179488,0.798077,0.932692,0.134615
GPT-5.4 mini,Hydrogenolysis,repeat_03,0.807692,0.839744,0.032052,0.923077,0.913461,-0.009616
GPT-5.4 mini,Photochemical oxidation,repeat_01,0.871795,0.942308,0.070513,0.942308,0.961539,0.019231
GPT-5.4 mini,Photochemical oxidation,repeat_02,0.878205,0.923077,0.044872,0.951923,0.971154,0.019231
GPT-5.4 mini,Photochemical oxidation,repeat_03,0.897436,0.948718,0.051282,0.961539,0.971154,0.009615
GPT-5.4 mini,CuAAC,repeat_01,0.881944,0.881944,0.0,0.96875,0.979167,0.010417
GPT-5.4 mini,CuAAC,repeat_02,0.868055,0.868055,0.0,0.947917,0.916667,-0.03125
GPT-5.4 mini,CuAAC,repeat_03,0.923611,0.902778,-0.020833,0.958333,0.9375,-0.020833
GPT-5.5,Hydrogenolysis,repeat_01,0.961538,0.371795,-0.589743,0.980769,0.442307,-0.538462
GPT-5.5,Hydrogenolysis,repeat_02,0.980769,0.358974,-0.621795,0.990385,0.451923,-0.538462
GPT-5.5,Hydrogenolysis,repeat_03,0.897436,0.314103,-0.583333,0.932693,0.326923,-0.60577
GPT-5.5,Photochemical oxidation,repeat_01,0.980769,0.942308,-0.038461,0.990385,0.971154,-0.019231
GPT-5.5,Photochemical oxidation,repeat_02,0.974359,0.916667,-0.057692,0.980769,0.961539,-0.01923
GPT-5.5,Photochemical oxidation,repeat_03,0.980769,0.948718,-0.032051,0.990385,0.971154,-0.019231
GPT-5.5,CuAAC,repeat_01,0.965278,0.666667,-0.298611,0.979167,0.760417,-0.21875
GPT-5.5,CuAAC,repeat_02,0.951389,0.965278,0.013889,0.96875,0.979167,0.010417
GPT-5.5,CuAAC,repeat_03,0.965278,0.354167,-0.611111,0.979167,0.395834,-0.583333
