model,architecture,case,n_repeats,mean_score_0_1,repeat_sd,score_range,exact_result_hash_count,exact_result_reproducible
GPT-5.2,One-shot,Hydrogenolysis,3,0.844017,0.051813,0.102563,3,False
GPT-5.2,One-shot,Photochemical oxidation,3,0.925214,0.025907,0.051282,3,False
GPT-5.2,One-shot,CuAAC,3,0.958333,0.006945,0.013889,3,False
GPT-5.2,FlowPilot,Hydrogenolysis,3,0.895299,0.024269,0.044872,3,False
GPT-5.2,FlowPilot,Photochemical oxidation,3,0.621795,0.533093,0.935898,3,False
GPT-5.2,FlowPilot,CuAAC,3,0.958333,0.0,0.0,3,False
GPT-5.4 mini,One-shot,Hydrogenolysis,3,0.730769,0.066925,0.121795,3,False
GPT-5.4 mini,One-shot,Photochemical oxidation,3,0.882479,0.013344,0.025641,3,False
GPT-5.4 mini,One-shot,CuAAC,3,0.891203,0.028912,0.055556,3,False
GPT-5.4 mini,FlowPilot,Hydrogenolysis,3,0.863248,0.022512,0.044871,3,False
GPT-5.4 mini,FlowPilot,Photochemical oxidation,3,0.938034,0.013344,0.025641,3,False
GPT-5.4 mini,FlowPilot,CuAAC,3,0.884259,0.017477,0.034723,3,False
GPT-5.5,One-shot,Hydrogenolysis,3,0.946581,0.043633,0.083333,3,False
GPT-5.5,One-shot,Photochemical oxidation,3,0.978632,0.003701,0.00641,3,False
GPT-5.5,One-shot,CuAAC,3,0.960648,0.008019,0.013889,3,False
GPT-5.5,FlowPilot,Hydrogenolysis,3,0.348291,0.030293,0.057692,3,False
GPT-5.5,FlowPilot,Photochemical oxidation,3,0.935898,0.01696,0.032051,3,False
GPT-5.5,FlowPilot,CuAAC,3,0.662037,0.305582,0.611111,3,False
