candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-F0B9E520,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.865385,0.942308,0.133235,0.826923,1,1
N2-4E7790AE,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.891026,0.923077,0.072807,0.875,2,2
N2-12161A58,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.916667,0.923077,0.029376,0.913462,1,1
N2-78BC07BD,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.698718,0.730769,0.222889,0.682692,2,7
N2-D8F92B4B,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.679487,0.653846,0.212701,0.692308,2,7
N2-1F9376F0,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.679487,0.673077,0.221224,0.682692,2,7
N2-4DE92BAA,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.916667,0.923077,0.086716,0.913461,0,0
N2-07D27359,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.923077,0.923077,0.076923,0.923077,1,1
N2-07C7D7C9,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.99359,1.0,0.011103,0.990385,0,0
N2-921CBE71,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.955128,0.961538,0.048396,0.951923,0,0
N2-36979559,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.961538,0.058751,0.942308,0,0
N2-ED204C10,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.955128,0.942308,0.040032,0.961539,0,0
N2-AB219417,Claude Opus 5,anthropic,One-shot,CuAAC,0.958333,1.0,0.072169,0.9375,0,0
N2-029F945C,Claude Opus 5,anthropic,One-shot,CuAAC,0.993056,1.0,0.012028,0.989583,0,0
N2-D397EB2D,Claude Opus 5,anthropic,One-shot,CuAAC,0.965278,1.0,0.060141,0.947917,0,0
N2-649D3BCF,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.423611,0.4375,0.104859,0.375,2,12
N2-8BFBF549,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.645833,0.625,0.178,0.65625,2,5
N2-28433A01,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.958333,0.958333,0.041667,0.958333,0,0
