candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-F0B9E520,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.865385,0.942308,0.133235,0.826923,1,1,claude_opus5,repeat_01,188987016,863df5042570ef4fd86d019f12ac8c9a35e509e6711b4fd95004427bfbc9ec26,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/hydrogenolysis/claude_opus5_one_shot/repeat_01
N2-4E7790AE,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.891026,0.923077,0.072807,0.875,2,2,claude_opus5,repeat_02,1471067813,0f8aab80b9cfcb52909786b4ec21ef613a2387870d2d8f7382af50b7ab7e2ba5,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/hydrogenolysis/claude_opus5_one_shot/repeat_02
N2-12161A58,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.916667,0.923077,0.029376,0.913462,1,1,claude_opus5,repeat_03,1160318874,ac9720cf9371bac8e7ee96aa55a1b82a78d4ac1d46fea041f5890f4cdc40298a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/hydrogenolysis/claude_opus5_one_shot/repeat_03
N2-78BC07BD,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.698718,0.730769,0.222889,0.682692,2,7,claude_opus5,repeat_01,188987016,c2b537a87811bb0c9bbcb7e9e8d32a36260c49f3b6c770cdb82a725b73d1d533,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/hydrogenolysis/claude_opus5_flowpilot/repeat_01
N2-D8F92B4B,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.679487,0.653846,0.212701,0.692308,2,7,claude_opus5,repeat_02,1471067813,af6f71f1164e73b1725b5bb357d8d61e038a091a70f2b61d2f273403d547c7c8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/hydrogenolysis/claude_opus5_flowpilot/repeat_02
N2-1F9376F0,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.679487,0.673077,0.221224,0.682692,2,7,claude_opus5,repeat_03,1160318874,f7e5ad5e6f6038b95a2172f5beebd04427c74cc89a484270a63e4345753b9ecf,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/hydrogenolysis/claude_opus5_flowpilot/repeat_03
N2-4DE92BAA,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.916667,0.923077,0.086716,0.913461,0,0,claude_opus5,repeat_01,1486906843,fe5b21af3271c30d439b26a78832480d63316d393a91c9c764741869331289af,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/photochemical_oxidation/claude_opus5_one_shot/repeat_01
N2-07D27359,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.923077,0.923077,0.076923,0.923077,1,1,claude_opus5,repeat_02,983595744,505e59564a0432e52ca7e7b86a07e2fffb16d2c0bcb061fbba73da8530bcbf41,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/photochemical_oxidation/claude_opus5_one_shot/repeat_02
N2-07C7D7C9,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.99359,1.0,0.011103,0.990385,0,0,claude_opus5,repeat_03,1817652325,68eaf93f833fbc1117adc64bf4dff4acacbb81e7af817be9a3832a1ef132c2b3,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/photochemical_oxidation/claude_opus5_one_shot/repeat_03
N2-921CBE71,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.955128,0.961538,0.048396,0.951923,0,0,claude_opus5,repeat_01,1486906843,0ac396eca780420c24215095903a086ac2799bc40d0cd98f44c8ccd55cd0da45,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/photochemical_oxidation/claude_opus5_flowpilot/repeat_01
N2-36979559,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.961538,0.058751,0.942308,0,0,claude_opus5,repeat_02,983595744,b6ea94a15a4fcacbfd6c36e555a80a1e7c5118a60da5644e5c5fcc0c87eec165,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/photochemical_oxidation/claude_opus5_flowpilot/repeat_02
N2-ED204C10,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.955128,0.942308,0.040032,0.961539,0,0,claude_opus5,repeat_03,1817652325,e1ed00e0d7ede58b6bc4c90d492eaa74ee4a28e7da14aa2273cba98074bf7137,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/photochemical_oxidation/claude_opus5_flowpilot/repeat_03
N2-AB219417,Claude Opus 5,anthropic,One-shot,CuAAC,0.958333,1.0,0.072169,0.9375,0,0,claude_opus5,repeat_01,1451324477,4347367659617b9ff2cb3d08ef6941c4798f39352836b664ffe8ca53541599d8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/cuaac/claude_opus5_one_shot/repeat_01
N2-029F945C,Claude Opus 5,anthropic,One-shot,CuAAC,0.993056,1.0,0.012028,0.989583,0,0,claude_opus5,repeat_02,1364344270,d146a9ab3f9e8237aab9fa1bc099c35645e68087157b8986db4b8525b9ee3d7c,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/cuaac/claude_opus5_one_shot/repeat_02
N2-D397EB2D,Claude Opus 5,anthropic,One-shot,CuAAC,0.965278,1.0,0.060141,0.947917,0,0,claude_opus5,repeat_03,1658060544,d6e4df7a82b5fa96b2c5359e5d4dbe3d33452330d51a6c6f1058c0e29110aa5b,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/cuaac/claude_opus5_one_shot/repeat_03
N2-649D3BCF,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.423611,0.4375,0.104859,0.375,2,12,claude_opus5,repeat_01,1451324477,87fc0726020418d5479dd421afd71d22853ea442a1cd9ab1c6b54d8c45598f14,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/cuaac/claude_opus5_flowpilot/repeat_01
N2-8BFBF549,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.645833,0.625,0.178,0.65625,2,5,claude_opus5,repeat_02,1364344270,256a07964a46a3847c3e11ff6b9c47c365a8bd404630c847fbdd0a971371035b,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/opus5_three_repeat_20260824/generation/cuaac/claude_opus5_flowpilot/repeat_02
