model,criterion_id,one_shot_mean_0_1,flowpilot_mean_0_1,delta
Claude Opus 5,UO-01,1.0,0.916667,-0.083333
Claude Opus 5,UO-02,0.972222,0.805556,-0.166667
Claude Opus 5,UO-03,0.925926,0.768519,-0.157407
Claude Opus 5,UO-04,0.981481,0.824074,-0.157407
Claude Opus 5,UO-05,0.962963,0.601852,-0.361111
Claude Opus 5,UO-06,0.981481,0.805556,-0.175926
Claude Opus 5,UO-07,0.703704,0.796296,0.092593
Claude Opus 5,UO-08,0.972222,0.791667,-0.180556
Claude Opus 5,UO-10,0.916667,0.787037,-0.12963
Claude Opus 5,UO-11,0.87963,0.777778,-0.101852
Claude Opus 5,UO-12,0.953704,0.824074,-0.12963
Claude Opus 5,UO-13,0.935185,0.583333,-0.351852
Claude Opus 5,UO-14,0.981481,0.787037,-0.194444
