candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-F0B9E520,qwen,qwen,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.942308,13,1,SCREEN_ONLY
N2-4E7790AE,qwen,qwen,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.942308,13,1,EXECUTABLE
N2-12161A58,qwen,qwen,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.942308,13,1,SCREEN_ONLY
N2-78BC07BD,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.903846,13,1,BLOCKED
N2-D8F92B4B,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.903846,13,1,BLOCKED
N2-1F9376F0,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.903846,13,1,BLOCKED
N2-4DE92BAA,qwen,qwen,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-07D27359,qwen,qwen,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-07C7D7C9,qwen,qwen,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-921CBE71,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-36979559,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-ED204C10,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-AB219417,qwen,qwen,Claude Opus 5,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-029F945C,qwen,qwen,Claude Opus 5,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-D397EB2D,qwen,qwen,Claude Opus 5,anthropic,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-649D3BCF,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.4375,12,8,BLOCKED
N2-8BFBF549,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.833333,12,2,BLOCKED
N2-28433A01,qwen,qwen,Claude Opus 5,anthropic,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-F0B9E520,openai,openai,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.711538,13,0,SCREEN_ONLY
N2-4E7790AE,openai,openai,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.807692,13,1,SCREEN_ONLY
N2-12161A58,openai,openai,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.884615,13,0,SCREEN_ONLY
N2-78BC07BD,openai,openai,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.461538,13,6,BLOCKED
N2-D8F92B4B,openai,openai,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.480769,13,6,BLOCKED
N2-1F9376F0,openai,openai,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.461538,13,6,BLOCKED
N2-4DE92BAA,openai,openai,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.826923,13,0,SCREEN_ONLY
N2-07D27359,openai,openai,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.846154,13,1,SCREEN_ONLY
N2-07C7D7C9,openai,openai,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.980769,13,0,SCREEN
N2-921CBE71,openai,openai,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.903846,13,0,EXECUTABLE
N2-36979559,openai,openai,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.884615,13,0,EXECUTABLE
N2-ED204C10,openai,openai,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.923077,13,0,SCREEN_ONLY
N2-AB219417,openai,openai,Claude Opus 5,anthropic,One-shot,CuAAC,0.875,12,0,SCREEN_ONLY
N2-029F945C,openai,openai,Claude Opus 5,anthropic,One-shot,CuAAC,0.979167,12,0,SCREEN_ONLY
N2-D397EB2D,openai,openai,Claude Opus 5,anthropic,One-shot,CuAAC,0.895833,12,0,SCREEN_ONLY
N2-649D3BCF,openai,openai,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.3125,12,4,BLOCKED
N2-8BFBF549,openai,openai,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.479167,12,3,BLOCKED
N2-28433A01,openai,openai,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.916667,12,0,EXECUTABLE
N2-F0B9E520,claude,anthropic,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.942308,13,0,SCREEN_ONLY
N2-4E7790AE,claude,anthropic,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.923077,13,0,SCREEN_ONLY
N2-12161A58,claude,anthropic,Claude Opus 5,anthropic,One-shot,Hydrogenolysis,0.923077,13,0,SCREEN_ONLY
N2-78BC07BD,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.730769,13,0,SCREEN_ONLY
N2-D8F92B4B,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.653846,13,0,SCREEN_ONLY
N2-1F9376F0,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,Hydrogenolysis,0.673077,13,0,SCREEN_ONLY
N2-4DE92BAA,claude,anthropic,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.923077,13,0,SCREEN_ONLY
N2-07D27359,claude,anthropic,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,0.923077,13,0,SCREEN_ONLY
N2-07C7D7C9,claude,anthropic,Claude Opus 5,anthropic,One-shot,Photochemical oxidation,1.0,13,0,SCREEN_ONLY
N2-921CBE71,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.961538,13,0,EXECUTABLE
N2-36979559,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.961538,13,0,EXECUTABLE
N2-ED204C10,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,Photochemical oxidation,0.942308,13,0,EXECUTABLE
N2-AB219417,claude,anthropic,Claude Opus 5,anthropic,One-shot,CuAAC,1.0,12,0,SCREEN_ONLY
N2-029F945C,claude,anthropic,Claude Opus 5,anthropic,One-shot,CuAAC,1.0,12,0,SCREEN_ONLY
N2-D397EB2D,claude,anthropic,Claude Opus 5,anthropic,One-shot,CuAAC,1.0,12,0,SCREEN_ONLY
N2-649D3BCF,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.520833,12,0,BLOCKED
N2-8BFBF549,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.625,12,0,BLOCKED
N2-28433A01,claude,anthropic,Claude Opus 5,anthropic,FlowPilot,CuAAC,0.958333,12,0,EXECUTABLE
