model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
Claude Opus 5,FlowPilot,CuAAC,BPR_bar,2,20.0,0.0,0.0,20.0,20.0
Claude Opus 5,FlowPilot,CuAAC,concentration_M,2,0.25,0.0,0.0,0.25,0.25
Claude Opus 5,FlowPilot,CuAAC,flow_rate_mL_min,2,0.85247,0.20863893,24.4746,0.70494,1.0
Claude Opus 5,FlowPilot,CuAAC,reactor_volume_mL,2,0.3,0.0,0.0,0.3,0.3
Claude Opus 5,FlowPilot,CuAAC,residence_time_min,2,0.362784,0.08878998,24.4746,0.3,0.425568
Claude Opus 5,FlowPilot,CuAAC,temperature_C,2,150.0,0.0,0.0,150.0,150.0
Claude Opus 5,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Claude Opus 5,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Claude Opus 5,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.16415667,0.11112261,67.693,0.1,0.29247
Claude Opus 5,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Claude Opus 5,FlowPilot,Hydrogenolysis,residence_time_min,3,23.419154,11.39835963,48.6711,10.257462,30.0
Claude Opus 5,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Claude Opus 5,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Claude Opus 5,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Claude Opus 5,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.12418667,0.06244504,50.2832,0.0617,0.18659
Claude Opus 5,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Claude Opus 5,FlowPilot,Photochemical oxidation,residence_time_min,3,9.87126433,5.6494557,57.2313,5.359344,16.207455
Claude Opus 5,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
Claude Opus 5,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Claude Opus 5,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Claude Opus 5,One-shot,CuAAC,flow_rate_mL_min,3,0.13333333,0.02886751,21.6506,0.1,0.15
Claude Opus 5,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Claude Opus 5,One-shot,CuAAC,residence_time_min,3,2.33333333,0.57735027,24.7436,2.0,3.0
Claude Opus 5,One-shot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Claude Opus 5,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Claude Opus 5,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Claude Opus 5,One-shot,Hydrogenolysis,flow_rate_mL_min,3,0.2,0.0,0.0,0.2,0.2
Claude Opus 5,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Claude Opus 5,One-shot,Hydrogenolysis,residence_time_min,3,0.55666667,0.13279056,23.8546,0.48,0.71
Claude Opus 5,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Claude Opus 5,One-shot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Claude Opus 5,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Claude Opus 5,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.13333333,0.05773503,43.3013,0.1,0.2
Claude Opus 5,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Claude Opus 5,One-shot,Photochemical oxidation,residence_time_min,3,2.00333333,2.59530987,129.5496,0.48,5.0
Claude Opus 5,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
