model,architecture,case,repeat_id,parameter,value
Claude Opus 5,One-shot,Hydrogenolysis,repeat_01,residence_time_min,0.48
Claude Opus 5,One-shot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.2
Claude Opus 5,One-shot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
Claude Opus 5,One-shot,Hydrogenolysis,repeat_01,temperature_C,60.0
Claude Opus 5,One-shot,Hydrogenolysis,repeat_01,concentration_M,0.126
Claude Opus 5,One-shot,Hydrogenolysis,repeat_01,BPR_bar,21.0
Claude Opus 5,One-shot,Hydrogenolysis,repeat_02,residence_time_min,0.71
Claude Opus 5,One-shot,Hydrogenolysis,repeat_02,flow_rate_mL_min,0.2
Claude Opus 5,One-shot,Hydrogenolysis,repeat_02,reactor_volume_mL,3.0
Claude Opus 5,One-shot,Hydrogenolysis,repeat_02,temperature_C,60.0
Claude Opus 5,One-shot,Hydrogenolysis,repeat_02,concentration_M,0.126
Claude Opus 5,One-shot,Hydrogenolysis,repeat_02,BPR_bar,21.0
Claude Opus 5,One-shot,Hydrogenolysis,repeat_03,residence_time_min,0.48
Claude Opus 5,One-shot,Hydrogenolysis,repeat_03,flow_rate_mL_min,0.2
Claude Opus 5,One-shot,Hydrogenolysis,repeat_03,reactor_volume_mL,3.0
Claude Opus 5,One-shot,Hydrogenolysis,repeat_03,temperature_C,60.0
Claude Opus 5,One-shot,Hydrogenolysis,repeat_03,concentration_M,0.126
Claude Opus 5,One-shot,Hydrogenolysis,repeat_03,BPR_bar,21.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_01,residence_time_min,0.48
Claude Opus 5,One-shot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.1
Claude Opus 5,One-shot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_01,temperature_C,21.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_01,concentration_M,0.1
Claude Opus 5,One-shot,Photochemical oxidation,repeat_01,BPR_bar,3.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_02,residence_time_min,0.53
Claude Opus 5,One-shot,Photochemical oxidation,repeat_02,flow_rate_mL_min,0.1
Claude Opus 5,One-shot,Photochemical oxidation,repeat_02,reactor_volume_mL,1.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_02,temperature_C,21.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_02,concentration_M,0.1
Claude Opus 5,One-shot,Photochemical oxidation,repeat_02,BPR_bar,3.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_03,residence_time_min,5.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_03,flow_rate_mL_min,0.2
Claude Opus 5,One-shot,Photochemical oxidation,repeat_03,reactor_volume_mL,1.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_03,temperature_C,21.0
Claude Opus 5,One-shot,Photochemical oxidation,repeat_03,concentration_M,0.1
Claude Opus 5,One-shot,Photochemical oxidation,repeat_03,BPR_bar,3.0
Claude Opus 5,One-shot,CuAAC,repeat_01,residence_time_min,2.0
Claude Opus 5,One-shot,CuAAC,repeat_01,flow_rate_mL_min,0.15
Claude Opus 5,One-shot,CuAAC,repeat_01,reactor_volume_mL,0.3
Claude Opus 5,One-shot,CuAAC,repeat_01,temperature_C,150.0
Claude Opus 5,One-shot,CuAAC,repeat_01,concentration_M,0.25
Claude Opus 5,One-shot,CuAAC,repeat_01,BPR_bar,20.0
Claude Opus 5,One-shot,CuAAC,repeat_02,residence_time_min,3.0
Claude Opus 5,One-shot,CuAAC,repeat_02,flow_rate_mL_min,0.1
Claude Opus 5,One-shot,CuAAC,repeat_02,reactor_volume_mL,0.3
Claude Opus 5,One-shot,CuAAC,repeat_02,temperature_C,150.0
Claude Opus 5,One-shot,CuAAC,repeat_02,concentration_M,0.25
Claude Opus 5,One-shot,CuAAC,repeat_02,BPR_bar,20.0
