model,criterion_id,one_shot_mean_0_1,flowpilot_mean_0_1,delta
Qwen3.8-27B,UO-01,0.916667,1.0,0.083333
Qwen3.8-27B,UO-02,0.805556,0.972222,0.166667
Qwen3.8-27B,UO-03,0.583333,0.861111,0.277778
Qwen3.8-27B,UO-04,0.722222,0.916667,0.194444
Qwen3.8-27B,UO-05,0.75,0.944444,0.194444
Qwen3.8-27B,UO-06,0.805556,1.0,0.194444
Qwen3.8-27B,UO-07,0.861111,0.916667,0.055556
Qwen3.8-27B,UO-08,0.416667,0.875,0.458333
Qwen3.8-27B,UO-10,0.833333,0.944444,0.111111
Qwen3.8-27B,UO-11,0.75,0.805556,0.055556
Qwen3.8-27B,UO-12,0.694444,0.944444,0.25
Qwen3.8-27B,UO-13,0.666667,0.861111,0.194444
Qwen3.8-27B,UO-14,0.722222,0.944444,0.222222
