candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-42E255BD,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.846154,13,2,BLOCKED
N2-AA2B3CE9,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-D9414DDD,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.980769,13,0,EXECUTABLE
N2-0CBFDC76,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-70AC5DB5,qwen,qwen,Qwen3.8-27B,qwen,One-shot,CuAAC,0.895833,12,0,SCREEN_ONLY
N2-D18E933B,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,CuAAC,1.0,12,0,EXECUTABLE
N2-42E255BD,openai,openai,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.365385,13,2,SCREEN_ONLY
N2-AA2B3CE9,openai,openai,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.711538,13,0,SCREEN_ONLY
N2-D9414DDD,openai,openai,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.653846,13,0,SCREEN_ONLY
N2-0CBFDC76,openai,openai,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,0.884615,13,0,EXECUTABLE
N2-70AC5DB5,openai,openai,Qwen3.8-27B,qwen,One-shot,CuAAC,0.583333,12,0,SCREEN_ONLY
N2-D18E933B,openai,openai,Qwen3.8-27B,qwen,FlowPilot,CuAAC,0.895833,12,0,SCREEN_ONLY
N2-42E255BD,claude,anthropic,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.653846,13,0,SCREEN_ONLY
N2-AA2B3CE9,claude,anthropic,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.923077,13,0,EXECUTABLE
N2-D9414DDD,claude,anthropic,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.865385,13,0,SCREEN_ONLY
N2-0CBFDC76,claude,anthropic,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,0.942308,13,0,EXECUTABLE
N2-70AC5DB5,claude,anthropic,Qwen3.8-27B,qwen,One-shot,CuAAC,0.833333,12,0,SCREEN_ONLY
N2-D18E933B,claude,anthropic,Qwen3.8-27B,qwen,FlowPilot,CuAAC,0.958333,12,0,EXECUTABLE
