model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
Qwen3.8-27B,FlowPilot,CuAAC,BPR_bar,1,20.0,0.0,0.0,20.0,20.0
Qwen3.8-27B,FlowPilot,CuAAC,concentration_M,1,0.25,0.0,0.0,0.25,0.25
Qwen3.8-27B,FlowPilot,CuAAC,flow_rate_mL_min,1,0.6,0.0,0.0,0.6,0.6
Qwen3.8-27B,FlowPilot,CuAAC,reactor_volume_mL,1,0.3,0.0,0.0,0.3,0.3
Qwen3.8-27B,FlowPilot,CuAAC,residence_time_min,1,0.5,0.0,0.0,0.5,0.5
Qwen3.8-27B,FlowPilot,CuAAC,temperature_C,1,150.0,0.0,0.0,150.0,150.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,BPR_bar,1,21.0,0.0,0.0,21.0,21.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,concentration_M,1,0.126,0.0,0.0,0.126,0.126
Qwen3.8-27B,FlowPilot,Hydrogenolysis,flow_rate_mL_min,1,0.1,0.0,0.0,0.1,0.1
Qwen3.8-27B,FlowPilot,Hydrogenolysis,reactor_volume_mL,1,3.0,0.0,0.0,3.0,3.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,residence_time_min,1,30.0,0.0,0.0,30.0,30.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,temperature_C,1,60.0,0.0,0.0,60.0,60.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,BPR_bar,1,3.0,0.0,0.0,3.0,3.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,concentration_M,1,0.1,0.0,0.0,0.1,0.1
Qwen3.8-27B,FlowPilot,Photochemical oxidation,flow_rate_mL_min,1,0.31068,0.0,0.0,0.31068,0.31068
Qwen3.8-27B,FlowPilot,Photochemical oxidation,reactor_volume_mL,1,1.0,0.0,0.0,1.0,1.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,residence_time_min,1,3.218746,0.0,0.0,3.218746,3.218746
Qwen3.8-27B,FlowPilot,Photochemical oxidation,temperature_C,1,21.0,0.0,0.0,21.0,21.0
Qwen3.8-27B,One-shot,CuAAC,BPR_bar,1,20.0,0.0,0.0,20.0,20.0
Qwen3.8-27B,One-shot,CuAAC,concentration_M,1,0.25,0.0,0.0,0.25,0.25
Qwen3.8-27B,One-shot,CuAAC,flow_rate_mL_min,1,0.3,0.0,0.0,0.3,0.3
Qwen3.8-27B,One-shot,CuAAC,reactor_volume_mL,1,0.3,0.0,0.0,0.3,0.3
Qwen3.8-27B,One-shot,CuAAC,residence_time_min,1,1.0,0.0,0.0,1.0,1.0
Qwen3.8-27B,One-shot,CuAAC,temperature_C,1,80.0,0.0,0.0,80.0,80.0
Qwen3.8-27B,One-shot,Hydrogenolysis,BPR_bar,1,21.0,0.0,0.0,21.0,21.0
Qwen3.8-27B,One-shot,Hydrogenolysis,concentration_M,1,0.126,0.0,0.0,0.126,0.126
Qwen3.8-27B,One-shot,Hydrogenolysis,flow_rate_mL_min,1,0.3,0.0,0.0,0.3,0.3
Qwen3.8-27B,One-shot,Hydrogenolysis,reactor_volume_mL,1,3.0,0.0,0.0,3.0,3.0
Qwen3.8-27B,One-shot,Hydrogenolysis,residence_time_min,1,10.0,0.0,0.0,10.0,10.0
Qwen3.8-27B,One-shot,Hydrogenolysis,temperature_C,1,60.0,0.0,0.0,60.0,60.0
Qwen3.8-27B,One-shot,Photochemical oxidation,BPR_bar,1,3.0,0.0,0.0,3.0,3.0
Qwen3.8-27B,One-shot,Photochemical oxidation,concentration_M,1,0.1,0.0,0.0,0.1,0.1
Qwen3.8-27B,One-shot,Photochemical oxidation,flow_rate_mL_min,1,0.2,0.0,0.0,0.2,0.2
Qwen3.8-27B,One-shot,Photochemical oxidation,reactor_volume_mL,1,1.0,0.0,0.0,1.0,1.0
Qwen3.8-27B,One-shot,Photochemical oxidation,residence_time_min,1,5.0,0.0,0.0,5.0,5.0
Qwen3.8-27B,One-shot,Photochemical oxidation,temperature_C,1,21.0,0.0,0.0,21.0,21.0
