model,architecture,case,repeat_id,parameter,value
Qwen3.8-27B,One-shot,Hydrogenolysis,repeat_01,residence_time_min,10.0
Qwen3.8-27B,One-shot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.3
Qwen3.8-27B,One-shot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
Qwen3.8-27B,One-shot,Hydrogenolysis,repeat_01,temperature_C,60.0
Qwen3.8-27B,One-shot,Hydrogenolysis,repeat_01,concentration_M,0.126
Qwen3.8-27B,One-shot,Hydrogenolysis,repeat_01,BPR_bar,21.0
Qwen3.8-27B,One-shot,Photochemical oxidation,repeat_01,residence_time_min,5.0
Qwen3.8-27B,One-shot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.2
Qwen3.8-27B,One-shot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
Qwen3.8-27B,One-shot,Photochemical oxidation,repeat_01,temperature_C,21.0
Qwen3.8-27B,One-shot,Photochemical oxidation,repeat_01,concentration_M,0.1
Qwen3.8-27B,One-shot,Photochemical oxidation,repeat_01,BPR_bar,3.0
Qwen3.8-27B,One-shot,CuAAC,repeat_01,residence_time_min,1.0
Qwen3.8-27B,One-shot,CuAAC,repeat_01,flow_rate_mL_min,0.3
Qwen3.8-27B,One-shot,CuAAC,repeat_01,reactor_volume_mL,0.3
Qwen3.8-27B,One-shot,CuAAC,repeat_01,temperature_C,80.0
Qwen3.8-27B,One-shot,CuAAC,repeat_01,concentration_M,0.25
Qwen3.8-27B,One-shot,CuAAC,repeat_01,BPR_bar,20.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,repeat_01,residence_time_min,30.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,repeat_01,flow_rate_mL_min,0.1
Qwen3.8-27B,FlowPilot,Hydrogenolysis,repeat_01,reactor_volume_mL,3.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,repeat_01,temperature_C,60.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,repeat_01,concentration_M,0.126
Qwen3.8-27B,FlowPilot,Hydrogenolysis,repeat_01,BPR_bar,21.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,repeat_01,residence_time_min,3.218746
Qwen3.8-27B,FlowPilot,Photochemical oxidation,repeat_01,flow_rate_mL_min,0.31068
Qwen3.8-27B,FlowPilot,Photochemical oxidation,repeat_01,reactor_volume_mL,1.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,repeat_01,temperature_C,21.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,repeat_01,concentration_M,0.1
Qwen3.8-27B,FlowPilot,Photochemical oxidation,repeat_01,BPR_bar,3.0
Qwen3.8-27B,FlowPilot,CuAAC,repeat_01,residence_time_min,0.5
Qwen3.8-27B,FlowPilot,CuAAC,repeat_01,flow_rate_mL_min,0.6
Qwen3.8-27B,FlowPilot,CuAAC,repeat_01,reactor_volume_mL,0.3
Qwen3.8-27B,FlowPilot,CuAAC,repeat_01,temperature_C,150.0
Qwen3.8-27B,FlowPilot,CuAAC,repeat_01,concentration_M,0.25
Qwen3.8-27B,FlowPilot,CuAAC,repeat_01,BPR_bar,20.0
