candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-42E255BD,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.621795,0.653846,0.241982,0.509615,2,4
N2-F05CF9A5,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.48718,0.519231,0.146878,0.423077,3,11
N2-3ECA5D30,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.692308,0.692308,0.192308,0.596154,2,3
N2-AA2B3CE9,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.878205,0.923077,0.149374,0.817308,0,0
N2-479DCF09,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.833333,0.807692,0.15544,0.75,0,0
N2-708C60D9,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.878205,0.884615,0.125123,0.817308,0,0
N2-D9414DDD,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.833333,0.865385,0.165802,0.759615,0,0
N2-93353F12,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.852564,0.903846,0.178684,0.778846,1,1
N2-471087C0,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.794872,0.807692,0.154247,0.721154,2,3
N2-0CBFDC76,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,0.942308,0.942308,0.057693,0.913462,0,0
N2-306DCDAD,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,0.929487,0.961538,0.090881,0.89423,0,0
N2-8CBCF39B,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,0.942308,0.942308,0.057693,0.913462,0,0
N2-70AC5DB5,Qwen3.8-27B,qwen,One-shot,CuAAC,0.770833,0.833333,0.165359,0.708333,0,0
N2-75DF0799,Qwen3.8-27B,qwen,One-shot,CuAAC,0.854167,0.875,0.157288,0.78125,1,1
N2-9273F68E,Qwen3.8-27B,qwen,One-shot,CuAAC,0.819444,0.875,0.213817,0.729167,1,2
N2-D18E933B,Qwen3.8-27B,qwen,FlowPilot,CuAAC,0.951389,0.958333,0.05243,0.927083,0,0
N2-A8838A72,Qwen3.8-27B,qwen,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.916667,0,0
N2-4086C480,Qwen3.8-27B,qwen,FlowPilot,CuAAC,0.9375,0.916667,0.05512,0.90625,0,0
