candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-42E255BD,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.621795,0.653846,0.241982,0.509615,2,4,qwen38,repeat_01,1503952534,f8b63702fd3d1fd2e0d98a89a21a41bfd6566f05d2c750462c5521714c230721,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/hydrogenolysis/qwen38_one_shot/repeat_01
N2-F05CF9A5,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.48718,0.519231,0.146878,0.423077,3,11,qwen38,repeat_02,647015444,a3953a39c0632e875c27213d706d84e3f2ccfdc251a4ba0a9c492a6b2d2c88b8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/hydrogenolysis/qwen38_one_shot/repeat_02
N2-3ECA5D30,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.692308,0.692308,0.192308,0.596154,2,3,qwen38,repeat_03,573034872,316a89de191ec9c2da1308c4fd0b897598763c4715eb564e9b943b359c5600a9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/hydrogenolysis/qwen38_one_shot/repeat_03
N2-AA2B3CE9,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.878205,0.923077,0.149374,0.817308,0,0,qwen38,repeat_01,990810227,a9d95c23c7d123225fdc2c42dbda13c0a4be0068a38232a4eb9e79c367ad1111,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/hydrogenolysis/qwen38_flowpilot/repeat_01
N2-479DCF09,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.833333,0.807692,0.15544,0.75,0,0,qwen38,repeat_02,1109779781,ee77abf582568ba38742ba08d2990641335733462d07f767b7859500b3d7858a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/hydrogenolysis/qwen38_flowpilot/repeat_02
N2-708C60D9,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.878205,0.884615,0.125123,0.817308,0,0,qwen38,repeat_03,25421525,b7ea676ed1bad7bee9a3bb82cb4db2e44eaf4bcaa12f5033878e820e782cc2e4,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/hydrogenolysis/qwen38_flowpilot/repeat_03
N2-D9414DDD,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.833333,0.865385,0.165802,0.759615,0,0,qwen38,repeat_01,1381770006,30f7a74f32a8b665f01c743e13844fb6afe3a4ee1148343a2c4e077349fc828e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/photochemical_oxidation/qwen38_one_shot/repeat_01
N2-93353F12,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.852564,0.903846,0.178684,0.778846,1,1,qwen38,repeat_02,303477668,68cb19d28ca877d8b05a619ec50c489e8fe43274e0f66b1cfa1c9f7e90b215d1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/photochemical_oxidation/qwen38_one_shot/repeat_02
N2-471087C0,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.794872,0.807692,0.154247,0.721154,2,3,qwen38,repeat_03,460703606,fa82dfa8a3a673babea6db75c37db6ab5384f63fbfbe56694ed0acab53a238b6,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/photochemical_oxidation/qwen38_one_shot/repeat_03
N2-0CBFDC76,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,0.942308,0.942308,0.057693,0.913462,0,0,qwen38,repeat_01,388195670,e05290a5022e31e25181a689a41950d9b93ffcb297b67738d0ffa2de93f7485a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_three_repeat_20260824/generation/photochemical_oxidation/qwen38_flowpilot/repeat_01
