model,criterion_id,one_shot_mean_0_1,flowpilot_mean_0_1,delta
Qwen3.8-27B,UO-01,0.962963,0.990741,0.027778
Qwen3.8-27B,UO-02,0.842593,0.953704,0.111111
Qwen3.8-27B,UO-03,0.574074,0.833333,0.259259
Qwen3.8-27B,UO-04,0.768519,0.898148,0.12963
Qwen3.8-27B,UO-05,0.75,0.944444,0.194444
Qwen3.8-27B,UO-06,0.740741,0.972222,0.231481
Qwen3.8-27B,UO-07,0.851852,0.925926,0.074074
Qwen3.8-27B,UO-08,0.402778,0.875,0.472222
Qwen3.8-27B,UO-10,0.787037,0.935185,0.148148
Qwen3.8-27B,UO-11,0.740741,0.814815,0.074074
Qwen3.8-27B,UO-12,0.731481,0.935185,0.203704
Qwen3.8-27B,UO-13,0.648148,0.851852,0.203704
Qwen3.8-27B,UO-14,0.777778,0.944444,0.166667
