candidate_id,judge,judge_family,model,generator_family,architecture,case,score_0_1,applicable_criteria,critical_errors,overall_executability
N2-42E255BD,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.846154,13,2,BLOCKED
N2-F05CF9A5,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.615385,13,5,BLOCKED
N2-3ECA5D30,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.884615,13,1,SCREEN_ONLY
N2-AA2B3CE9,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-479DCF09,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-708C60D9,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,1.0,13,0,EXECUTABLE
N2-D9414DDD,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.980769,13,0,EXECUTABLE
N2-93353F12,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-471087C0,qwen,qwen,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.942308,13,1,EXECUTABLE
N2-0CBFDC76,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-306DCDAD,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-8CBCF39B,qwen,qwen,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,1.0,13,0,EXECUTABLE
N2-70AC5DB5,qwen,qwen,Qwen3.8-27B,qwen,One-shot,CuAAC,0.895833,12,0,SCREEN_ONLY
N2-75DF0799,qwen,qwen,Qwen3.8-27B,qwen,One-shot,CuAAC,1.0,12,0,EXECUTABLE
N2-9273F68E,qwen,qwen,Qwen3.8-27B,qwen,One-shot,CuAAC,1.0,12,0,EXECUTABLE
