model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
Qwen3.8-27B,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Qwen3.8-27B,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Qwen3.8-27B,FlowPilot,CuAAC,flow_rate_mL_min,3,0.33703667,0.24654035,73.1494,0.11111,0.6
Qwen3.8-27B,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Qwen3.8-27B,FlowPilot,CuAAC,residence_time_min,3,1.400009,1.15327148,82.376,0.5,2.700027
Qwen3.8-27B,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Qwen3.8-27B,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.14172333,0.07226693,50.9916,0.1,0.22517
Qwen3.8-27B,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,residence_time_min,3,24.441089,9.62831629,39.394,13.323267,30.0
Qwen3.8-27B,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Qwen3.8-27B,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.31068,0.0,0.0,0.31068,0.31068
Qwen3.8-27B,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Qwen3.8-27B,FlowPilot,Photochemical oxidation,residence_time_min,3,3.218746,0.0,0.0,3.218746,3.218746
Qwen3.8-27B,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
Qwen3.8-27B,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Qwen3.8-27B,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Qwen3.8-27B,One-shot,CuAAC,flow_rate_mL_min,3,0.16666667,0.11547005,69.282,0.1,0.3
Qwen3.8-27B,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Qwen3.8-27B,One-shot,CuAAC,residence_time_min,3,2.33333333,1.15470054,49.4872,1.0,3.0
Qwen3.8-27B,One-shot,CuAAC,temperature_C,3,126.66666667,40.41451884,31.9062,80.0,150.0
Qwen3.8-27B,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Qwen3.8-27B,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Qwen3.8-27B,One-shot,Hydrogenolysis,flow_rate_mL_min,3,1.2,1.55884573,129.9038,0.3,3.0
Qwen3.8-27B,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Qwen3.8-27B,One-shot,Hydrogenolysis,residence_time_min,3,7.0,5.19615242,74.2307,1.0,10.0
Qwen3.8-27B,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Qwen3.8-27B,One-shot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Qwen3.8-27B,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Qwen3.8-27B,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.13333333,0.05773503,43.3013,0.1,0.2
Qwen3.8-27B,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Qwen3.8-27B,One-shot,Photochemical oxidation,residence_time_min,3,8.33333333,2.88675135,34.641,5.0,10.0
Qwen3.8-27B,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
