judge,judge_family,track,candidate_id,repeat,status,initial_status,attempt_count,duration_seconds,generator_model,generator_family,architecture,case
claude,anthropic,assurance,C-0D427C,1,valid,valid,1,39.866,GPT-5.4,openai,One-shot,Hydrogenolysis
claude,anthropic,assurance,C-0D427C,2,valid,valid,1,43.393,GPT-5.4,openai,One-shot,Hydrogenolysis
claude,anthropic,assurance,C-0D427C,3,valid,valid,1,44.719,GPT-5.4,openai,One-shot,Hydrogenolysis
claude,anthropic,assurance,C-0E0B36,1,valid,valid,1,37.705,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
claude,anthropic,assurance,C-0E0B36,2,valid,valid,1,39.709,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
claude,anthropic,assurance,C-0E0B36,3,valid,valid,1,33.169,Qwen3.6-27B,qwen,One-shot,Two-stage amidation
claude,anthropic,assurance,C-318DBB,1,valid,valid,1,31.881,GPT-5.4,openai,One-shot,CuAAC
claude,anthropic,assurance,C-318DBB,2,valid,valid,1,34.286,GPT-5.4,openai,One-shot,CuAAC
claude,anthropic,assurance,C-318DBB,3,valid,valid,1,40.845,GPT-5.4,openai,One-shot,CuAAC
claude,anthropic,assurance,C-3AF023,1,valid,valid,1,58.466,GPT-5.4,openai,FlowPilot,Hydrogenolysis
claude,anthropic,assurance,C-3AF023,2,valid,valid,1,59.299,GPT-5.4,openai,FlowPilot,Hydrogenolysis
claude,anthropic,assurance,C-3AF023,3,valid,valid,1,68.72,GPT-5.4,openai,FlowPilot,Hydrogenolysis
claude,anthropic,assurance,C-5C3C78,1,valid,valid,1,35.382,Qwen3.6-27B,qwen,One-shot,CuAAC
claude,anthropic,assurance,C-5C3C78,2,valid,valid,1,37.09,Qwen3.6-27B,qwen,One-shot,CuAAC
claude,anthropic,assurance,C-5C3C78,3,valid,valid,1,36.278,Qwen3.6-27B,qwen,One-shot,CuAAC
claude,anthropic,assurance,C-5C6BE3,1,valid,valid,1,38.009,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
claude,anthropic,assurance,C-5C6BE3,2,valid,valid,1,33.458,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
claude,anthropic,assurance,C-5C6BE3,3,valid,valid,1,30.729,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis
claude,anthropic,assurance,C-80D8E0,1,valid,valid,2,60.292,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
claude,anthropic,assurance,C-80D8E0,2,valid,valid,2,56.382,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
claude,anthropic,assurance,C-80D8E0,3,valid,valid,2,53.767,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis
claude,anthropic,assurance,C-9817DC,1,valid,valid,2,54.178,GPT-5.4,openai,FlowPilot,CuAAC
claude,anthropic,assurance,C-9817DC,2,valid,valid,2,57.254,GPT-5.4,openai,FlowPilot,CuAAC
claude,anthropic,assurance,C-9817DC,3,valid,valid,2,53.642,GPT-5.4,openai,FlowPilot,CuAAC
claude,anthropic,assurance,C-C758FC,1,valid,valid,1,42.438,GPT-5.4,openai,One-shot,Two-stage amidation
claude,anthropic,assurance,C-C758FC,2,valid,valid,1,40.344,GPT-5.4,openai,One-shot,Two-stage amidation
claude,anthropic,assurance,C-C758FC,3,valid,valid,1,38.081,GPT-5.4,openai,One-shot,Two-stage amidation
claude,anthropic,assurance,C-C97D43,1,valid,valid,1,66.554,GPT-5.4,openai,FlowPilot,Two-stage amidation
claude,anthropic,assurance,C-C97D43,2,valid,valid,1,70.149,GPT-5.4,openai,FlowPilot,Two-stage amidation
claude,anthropic,assurance,C-C97D43,3,valid,valid,1,71.142,GPT-5.4,openai,FlowPilot,Two-stage amidation
claude,anthropic,assurance,C-D21BCD,1,valid,valid,1,57.562,Qwen3.6-27B,qwen,FlowPilot,CuAAC
claude,anthropic,assurance,C-D21BCD,2,valid,valid,1,57.144,Qwen3.6-27B,qwen,FlowPilot,CuAAC
claude,anthropic,assurance,C-D21BCD,3,valid,valid,1,52.339,Qwen3.6-27B,qwen,FlowPilot,CuAAC
claude,anthropic,assurance,C-F9B3B8,1,valid,valid,1,62.188,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
claude,anthropic,assurance,C-F9B3B8,2,valid,valid,1,66.685,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
claude,anthropic,assurance,C-F9B3B8,3,valid,valid,1,66.585,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation
claude,anthropic,outcome,C-0D427C,1,valid,valid,1,44.533,GPT-5.4,openai,One-shot,Hydrogenolysis
