candidate_id,track,generator_model,generator_family,architecture,case,consensus_score,valid_ratings
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,53.75,54
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,82.5,54
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,8.75,54
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,66.25,54
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,55.00000000000001,54
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,77.5,54
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,37.5,54
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,70.0,54
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,33.75,54
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,65.0,54
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,7.5,54
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,42.50000000000001,54
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,28.749999999999996,54
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,57.49999999999999,54
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,50.0,54
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,80.0,54
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,50.0,54
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,61.24999999999999,54
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,28.749999999999996,54
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,52.5,54
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,45.0,54
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,58.75,54
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,25.0,54
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,53.75,54
