candidate_id,track,generator_model,generator_family,architecture,case,criterion_id,median_score,mean_score,rating_count,score_sd
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,A-01,2.0,2.0,9,0.0
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,A-02,3.0,2.888888888888889,9,0.33333333333333337
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,A-03,2.0,2.0,9,0.0
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,A-04,2.0,2.3333333333333335,9,0.5
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,A-05,2.0,2.0,9,0.0
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,A-06,2.0,1.6666666666666667,9,0.5
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,O-01,4.0,3.6666666666666665,9,0.5
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,O-02,2.0,2.111111111111111,9,0.3333333333333334
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,O-03,4.0,3.7777777777777777,9,0.4409585518440984
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,O-04,3.0,3.3333333333333335,9,0.5
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,O-05,4.0,3.5555555555555554,9,0.5270462766947299
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,O-06,3.0,3.0,9,0.0
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,A-01,0.0,0.3333333333333333,9,0.5
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,A-02,1.0,0.7777777777777778,9,0.6666666666666666
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,A-03,1.0,0.5555555555555556,9,0.5270462766947299
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,A-04,0.0,0.1111111111111111,9,0.3333333333333333
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,A-05,0.0,0.4444444444444444,9,0.5270462766947299
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,A-06,0.0,0.3333333333333333,9,0.5
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,O-01,3.0,3.0,9,0.8660254037844386
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,O-02,2.0,2.4444444444444446,9,1.2360330811826103
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,O-03,3.0,3.111111111111111,9,0.7817359599705715
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,O-04,3.0,3.3333333333333335,9,0.5
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,O-05,3.0,2.888888888888889,9,0.927960727138337
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,O-06,2.0,2.7777777777777777,9,0.97182531580755
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,A-01,3.0,2.888888888888889,9,0.927960727138337
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,A-02,2.0,2.7777777777777777,9,0.97182531580755
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,A-03,2.0,2.6666666666666665,9,1.0
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,A-04,2.0,2.4444444444444446,9,0.5270462766947298
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,A-05,2.0,2.2222222222222223,9,1.3944333775567925
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,A-06,2.0,2.5555555555555554,9,1.2360330811826103
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,O-01,3.0,3.111111111111111,9,0.7817359599705715
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,O-02,2.0,2.4444444444444446,9,1.3333333333333333
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,O-03,4.0,3.5555555555555554,9,0.5270462766947299
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,O-04,4.0,4.0,9,0.0
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,O-05,3.0,3.3333333333333335,9,0.5
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,O-06,3.0,3.3333333333333335,9,0.5
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,A-01,1.0,1.4444444444444444,9,0.5270462766947299
