judge,judge_family,candidate_id,track,generator_model,generator_family,architecture,case,repeat,weighted_score
claude,anthropic,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,1,53.75
claude,anthropic,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,2,53.75
claude,anthropic,C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,3,53.75
claude,anthropic,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,1,0.0
claude,anthropic,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,2,0.0
claude,anthropic,C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,3,0.0
claude,anthropic,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,1,58.75
claude,anthropic,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,2,58.75
claude,anthropic,C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,3,46.25
claude,anthropic,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,1,46.25
claude,anthropic,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,2,28.749999999999996
claude,anthropic,C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,3,33.75
claude,anthropic,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,1,21.25
claude,anthropic,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,2,28.749999999999996
claude,anthropic,C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,3,28.749999999999996
claude,anthropic,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,1,0.0
claude,anthropic,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,2,0.0
claude,anthropic,C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,3,0.0
claude,anthropic,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,1,25.0
claude,anthropic,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,2,25.0
claude,anthropic,C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,3,28.749999999999996
claude,anthropic,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,1,37.5
claude,anthropic,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,2,50.0
claude,anthropic,C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,3,41.25
claude,anthropic,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,1,42.5
claude,anthropic,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,2,53.75
claude,anthropic,C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,3,46.25
claude,anthropic,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,1,25.0
claude,anthropic,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,2,25.0
claude,anthropic,C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,3,25.0
claude,anthropic,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,1,41.25
claude,anthropic,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,2,50.0
claude,anthropic,C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,3,37.5
claude,anthropic,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,1,25.0
claude,anthropic,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,2,25.0
claude,anthropic,C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,3,25.0
claude,anthropic,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,1,82.5
claude,anthropic,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,2,70.0
claude,anthropic,C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,3,70.0
claude,anthropic,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,1,62.5
claude,anthropic,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,2,70.0
claude,anthropic,C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,3,66.25
