candidate_id,track,generator_model,generator_family,architecture,case,leave_family_out_score,rating_count
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,51.87500000000001,36
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,10.625,36
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,79.375,36
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,37.5,36
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,21.25,36
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,8.75,36
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,28.749999999999996,36
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,41.25,36
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,75.0,36
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,22.5,36
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,51.87500000000001,36
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,26.875,36
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,81.875,36
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,60.0,36
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,91.25000000000001,36
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,63.125,36
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,57.49999999999999,36
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,40.0,36
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,57.49999999999999,36
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,79.375,36
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,68.75,36
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,54.99999999999999,36
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,53.75,36
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,51.24999999999999,36
