judge,judge_family,track,pair_id,order,status,initial_status,attempt_count,duration_seconds,generator_model,generator_family,case
claude,anthropic,assurance,P-01-B2E30,1,valid,valid,1,25.6,GPT-5.4,openai,CuAAC
claude,anthropic,assurance,P-01-B2E30,2,valid,valid,1,26.08,GPT-5.4,openai,CuAAC
claude,anthropic,assurance,P-02-0ABB9,1,valid,valid,1,30.319,GPT-5.4,openai,Hydrogenolysis
claude,anthropic,assurance,P-02-0ABB9,2,valid,valid,1,31.563,GPT-5.4,openai,Hydrogenolysis
claude,anthropic,assurance,P-03-37BDD,1,valid,valid,1,33.73,GPT-5.4,openai,Two-stage amidation
claude,anthropic,assurance,P-03-37BDD,2,valid,valid,1,36.277,GPT-5.4,openai,Two-stage amidation
claude,anthropic,assurance,P-04-69169,1,valid,valid,1,21.614,Qwen3.6-27B,qwen,CuAAC
claude,anthropic,assurance,P-04-69169,2,valid,valid,1,26.39,Qwen3.6-27B,qwen,CuAAC
claude,anthropic,assurance,P-05-A6ACE,1,valid,valid,1,27.192,Qwen3.6-27B,qwen,Hydrogenolysis
claude,anthropic,assurance,P-05-A6ACE,2,valid,valid,1,24.94,Qwen3.6-27B,qwen,Hydrogenolysis
claude,anthropic,assurance,P-06-2D620,1,valid,valid,1,27.457,Qwen3.6-27B,qwen,Two-stage amidation
claude,anthropic,assurance,P-06-2D620,2,valid,valid,1,28.691,Qwen3.6-27B,qwen,Two-stage amidation
claude,anthropic,outcome,P-01-B2E30,1,valid,valid,1,25.356,GPT-5.4,openai,CuAAC
claude,anthropic,outcome,P-01-B2E30,2,valid,invalid,2,26.999,GPT-5.4,openai,CuAAC
claude,anthropic,outcome,P-02-0ABB9,1,valid,valid,1,26.675,GPT-5.4,openai,Hydrogenolysis
claude,anthropic,outcome,P-02-0ABB9,2,valid,valid,1,26.531,GPT-5.4,openai,Hydrogenolysis
claude,anthropic,outcome,P-03-37BDD,1,valid,valid,1,38.647,GPT-5.4,openai,Two-stage amidation
claude,anthropic,outcome,P-03-37BDD,2,valid,valid,1,32.701,GPT-5.4,openai,Two-stage amidation
claude,anthropic,outcome,P-04-69169,1,valid,valid,1,23.127,Qwen3.6-27B,qwen,CuAAC
claude,anthropic,outcome,P-04-69169,2,valid,valid,1,19.993,Qwen3.6-27B,qwen,CuAAC
claude,anthropic,outcome,P-05-A6ACE,1,valid,valid,1,31.917,Qwen3.6-27B,qwen,Hydrogenolysis
claude,anthropic,outcome,P-05-A6ACE,2,valid,valid,1,23.528,Qwen3.6-27B,qwen,Hydrogenolysis
claude,anthropic,outcome,P-06-2D620,1,valid,valid,1,32.959,Qwen3.6-27B,qwen,Two-stage amidation
claude,anthropic,outcome,P-06-2D620,2,valid,valid,1,32.77,Qwen3.6-27B,qwen,Two-stage amidation
openai,openai,assurance,P-01-B2E30,1,valid,valid,1,9.54,GPT-5.4,openai,CuAAC
openai,openai,assurance,P-01-B2E30,2,valid,valid,1,7.536,GPT-5.4,openai,CuAAC
openai,openai,assurance,P-02-0ABB9,1,valid,valid,1,8.579,GPT-5.4,openai,Hydrogenolysis
openai,openai,assurance,P-02-0ABB9,2,valid,valid,1,9.405,GPT-5.4,openai,Hydrogenolysis
openai,openai,assurance,P-03-37BDD,1,valid,valid,1,10.234,GPT-5.4,openai,Two-stage amidation
openai,openai,assurance,P-03-37BDD,2,valid,valid,1,10.695,GPT-5.4,openai,Two-stage amidation
openai,openai,assurance,P-04-69169,1,valid,valid,1,6.937,Qwen3.6-27B,qwen,CuAAC
openai,openai,assurance,P-04-69169,2,valid,valid,1,7.17,Qwen3.6-27B,qwen,CuAAC
openai,openai,assurance,P-05-A6ACE,1,valid,valid,1,8.661,Qwen3.6-27B,qwen,Hydrogenolysis
openai,openai,assurance,P-05-A6ACE,2,valid,valid,1,8.65,Qwen3.6-27B,qwen,Hydrogenolysis
openai,openai,assurance,P-06-2D620,1,valid,valid,1,10.004,Qwen3.6-27B,qwen,Two-stage amidation
openai,openai,assurance,P-06-2D620,2,valid,valid,1,8.235,Qwen3.6-27B,qwen,Two-stage amidation
openai,openai,outcome,P-01-B2E30,1,valid,valid,1,8.541,GPT-5.4,openai,CuAAC
openai,openai,outcome,P-01-B2E30,2,valid,valid,1,8.696,GPT-5.4,openai,CuAAC
openai,openai,outcome,P-02-0ABB9,1,valid,valid,1,9.119,GPT-5.4,openai,Hydrogenolysis
openai,openai,outcome,P-02-0ABB9,2,valid,valid,1,8.449,GPT-5.4,openai,Hydrogenolysis
openai,openai,outcome,P-03-37BDD,1,valid,valid,1,9.59,GPT-5.4,openai,Two-stage amidation
openai,openai,outcome,P-03-37BDD,2,valid,valid,1,11.173,GPT-5.4,openai,Two-stage amidation
openai,openai,outcome,P-04-69169,1,valid,valid,1,7.14,Qwen3.6-27B,qwen,CuAAC
openai,openai,outcome,P-04-69169,2,valid,valid,1,8.089,Qwen3.6-27B,qwen,CuAAC
openai,openai,outcome,P-05-A6ACE,1,valid,valid,1,9.131,Qwen3.6-27B,qwen,Hydrogenolysis
openai,openai,outcome,P-05-A6ACE,2,valid,valid,1,10.151,Qwen3.6-27B,qwen,Hydrogenolysis
openai,openai,outcome,P-06-2D620,1,valid,valid,1,9.435,Qwen3.6-27B,qwen,Two-stage amidation
openai,openai,outcome,P-06-2D620,2,valid,valid,1,9.087,Qwen3.6-27B,qwen,Two-stage amidation
qwen,qwen,assurance,P-01-B2E30,1,valid,valid,1,12.831,GPT-5.4,openai,CuAAC
qwen,qwen,assurance,P-01-B2E30,2,valid,valid,1,17.227,GPT-5.4,openai,CuAAC
qwen,qwen,assurance,P-02-0ABB9,1,valid,valid,1,20.943,GPT-5.4,openai,Hydrogenolysis
qwen,qwen,assurance,P-02-0ABB9,2,valid,valid,1,14.513,GPT-5.4,openai,Hydrogenolysis
qwen,qwen,assurance,P-03-37BDD,1,valid,valid,1,22.666,GPT-5.4,openai,Two-stage amidation
qwen,qwen,assurance,P-03-37BDD,2,valid,valid,1,26.023,GPT-5.4,openai,Two-stage amidation
qwen,qwen,assurance,P-04-69169,1,valid,valid,1,13.1,Qwen3.6-27B,qwen,CuAAC
qwen,qwen,assurance,P-04-69169,2,valid,valid,1,15.263,Qwen3.6-27B,qwen,CuAAC
qwen,qwen,assurance,P-05-A6ACE,1,valid,valid,1,13.805,Qwen3.6-27B,qwen,Hydrogenolysis
qwen,qwen,assurance,P-05-A6ACE,2,valid,valid,1,13.143,Qwen3.6-27B,qwen,Hydrogenolysis
qwen,qwen,assurance,P-06-2D620,1,valid,valid,1,18.924,Qwen3.6-27B,qwen,Two-stage amidation
qwen,qwen,assurance,P-06-2D620,2,valid,valid,1,14.817,Qwen3.6-27B,qwen,Two-stage amidation
qwen,qwen,outcome,P-01-B2E30,1,valid,valid,1,16.262,GPT-5.4,openai,CuAAC
qwen,qwen,outcome,P-01-B2E30,2,valid,valid,1,15.675,GPT-5.4,openai,CuAAC
qwen,qwen,outcome,P-02-0ABB9,1,valid,valid,1,17.272,GPT-5.4,openai,Hydrogenolysis
qwen,qwen,outcome,P-02-0ABB9,2,valid,valid,1,16.573,GPT-5.4,openai,Hydrogenolysis
qwen,qwen,outcome,P-03-37BDD,1,valid,valid,1,19.238,GPT-5.4,openai,Two-stage amidation
qwen,qwen,outcome,P-03-37BDD,2,valid,valid,1,19.668,GPT-5.4,openai,Two-stage amidation
qwen,qwen,outcome,P-04-69169,1,valid,valid,1,20.491,Qwen3.6-27B,qwen,CuAAC
qwen,qwen,outcome,P-04-69169,2,valid,valid,1,16.647,Qwen3.6-27B,qwen,CuAAC
qwen,qwen,outcome,P-05-A6ACE,1,valid,valid,1,17.181,Qwen3.6-27B,qwen,Hydrogenolysis
qwen,qwen,outcome,P-05-A6ACE,2,valid,valid,1,17.306,Qwen3.6-27B,qwen,Hydrogenolysis
qwen,qwen,outcome,P-06-2D620,1,valid,valid,1,19.362,Qwen3.6-27B,qwen,Two-stage amidation
qwen,qwen,outcome,P-06-2D620,2,valid,valid,1,19.845,Qwen3.6-27B,qwen,Two-stage amidation
