generator_model,track,criterion_id,FlowPilot,One-shot,TIE,total,flowpilot_rate,one_shot_rate,tie_rate
GPT-5.4,assurance,A-01,10,8,0,18,0.5555555555555556,0.4444444444444444,0.0
GPT-5.4,assurance,A-02,7,11,0,18,0.3888888888888889,0.6111111111111112,0.0
GPT-5.4,assurance,A-03,9,9,0,18,0.5,0.5,0.0
GPT-5.4,assurance,A-04,7,11,0,18,0.3888888888888889,0.6111111111111112,0.0
GPT-5.4,assurance,A-05,11,7,0,18,0.6111111111111112,0.3888888888888889,0.0
GPT-5.4,assurance,A-06,9,9,0,18,0.5,0.5,0.0
GPT-5.4,assurance,OVERALL,8,9,1,18,0.4444444444444444,0.5,0.05555555555555555
GPT-5.4,outcome,O-01,2,12,4,18,0.1111111111111111,0.6666666666666666,0.2222222222222222
GPT-5.4,outcome,O-02,4,14,0,18,0.2222222222222222,0.7777777777777778,0.0
GPT-5.4,outcome,O-03,0,14,4,18,0.0,0.7777777777777778,0.2222222222222222
GPT-5.4,outcome,O-04,1,10,7,18,0.05555555555555555,0.5555555555555556,0.3888888888888889
GPT-5.4,outcome,O-05,0,16,2,18,0.0,0.8888888888888888,0.1111111111111111
GPT-5.4,outcome,O-06,2,16,0,18,0.1111111111111111,0.8888888888888888,0.0
GPT-5.4,outcome,OVERALL,2,16,0,18,0.1111111111111111,0.8888888888888888,0.0
Qwen3.6-27B,assurance,A-01,18,0,0,18,1.0,0.0,0.0
Qwen3.6-27B,assurance,A-02,18,0,0,18,1.0,0.0,0.0
Qwen3.6-27B,assurance,A-03,18,0,0,18,1.0,0.0,0.0
Qwen3.6-27B,assurance,A-04,18,0,0,18,1.0,0.0,0.0
Qwen3.6-27B,assurance,A-05,18,0,0,18,1.0,0.0,0.0
Qwen3.6-27B,assurance,A-06,18,0,0,18,1.0,0.0,0.0
Qwen3.6-27B,assurance,OVERALL,18,0,0,18,1.0,0.0,0.0
Qwen3.6-27B,outcome,O-01,6,9,3,18,0.3333333333333333,0.5,0.16666666666666666
Qwen3.6-27B,outcome,O-02,8,10,0,18,0.4444444444444444,0.5555555555555556,0.0
Qwen3.6-27B,outcome,O-03,8,8,2,18,0.4444444444444444,0.4444444444444444,0.1111111111111111
Qwen3.6-27B,outcome,O-04,9,8,1,18,0.5,0.4444444444444444,0.05555555555555555
Qwen3.6-27B,outcome,O-05,3,6,9,18,0.16666666666666666,0.3333333333333333,0.5
Qwen3.6-27B,outcome,O-06,8,10,0,18,0.4444444444444444,0.5555555555555556,0.0
Qwen3.6-27B,outcome,OVERALL,8,10,0,18,0.4444444444444444,0.5555555555555556,0.0
