candidate_id,track,generator_model,generator_family,architecture,case,own_family_score,cross_family_score,bias_delta_points
C-0D427C,assurance,GPT-5.4,openai,One-shot,Hydrogenolysis,56.25,51.87500000000001,4.374999999999993
C-0E0B36,assurance,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,10.833333333333332,10.625,0.20833333333333215
C-318DBB,assurance,GPT-5.4,openai,One-shot,CuAAC,45.0,75.41666666666667,-30.41666666666667
C-3AF023,assurance,GPT-5.4,openai,FlowPilot,Hydrogenolysis,48.75,36.875,11.875
C-5C3C78,assurance,Qwen3.6-27B,qwen,One-shot,CuAAC,84.58333333333333,24.791666666666668,59.79166666666666
C-5C6BE3,assurance,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,7.5,10.0,-2.5
C-80D8E0,assurance,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,37.083333333333336,28.958333333333336,8.125
C-9817DC,assurance,GPT-5.4,openai,FlowPilot,CuAAC,51.24999999999999,40.0,11.249999999999993
C-C758FC,assurance,GPT-5.4,openai,One-shot,Two-stage amidation,40.416666666666664,71.875,-31.458333333333336
C-C97D43,assurance,GPT-5.4,openai,FlowPilot,Two-stage amidation,35.416666666666664,28.750000000000004,6.666666666666661
C-D21BCD,assurance,Qwen3.6-27B,qwen,FlowPilot,CuAAC,36.25,47.70833333333333,-11.458333333333329
C-F9B3B8,assurance,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,32.5,26.875,5.625
C-0D427C,outcome,GPT-5.4,openai,One-shot,Hydrogenolysis,80.0,80.20833333333333,-0.2083333333333286
C-0E0B36,outcome,Qwen3.6-27B,qwen,One-shot,Two-stage amidation,100.0,58.958333333333336,41.041666666666664
C-318DBB,outcome,GPT-5.4,openai,One-shot,CuAAC,65.41666666666667,88.95833333333334,-23.54166666666667
C-3AF023,outcome,GPT-5.4,openai,FlowPilot,Hydrogenolysis,78.75,63.95833333333334,14.791666666666657
C-5C3C78,outcome,Qwen3.6-27B,qwen,One-shot,CuAAC,100.0,57.91666666666667,42.08333333333333
C-5C6BE3,outcome,Qwen3.6-27B,qwen,One-shot,Hydrogenolysis,56.25,40.0,16.25
C-80D8E0,outcome,Qwen3.6-27B,qwen,FlowPilot,Hydrogenolysis,65.0,58.12500000000001,6.874999999999993
C-9817DC,outcome,GPT-5.4,openai,FlowPilot,CuAAC,81.66666666666667,79.375,2.2916666666666714
C-C758FC,outcome,GPT-5.4,openai,One-shot,Two-stage amidation,63.74999999999999,68.75,-5.000000000000007
C-C97D43,outcome,GPT-5.4,openai,FlowPilot,Two-stage amidation,54.99999999999999,59.375,-4.375000000000007
C-D21BCD,outcome,Qwen3.6-27B,qwen,FlowPilot,CuAAC,96.25,54.166666666666664,42.083333333333336
C-F9B3B8,outcome,Qwen3.6-27B,qwen,FlowPilot,Two-stage amidation,94.16666666666667,51.24999999999999,42.91666666666668
