judge,track,candidate_id,criterion_id,repeat_count,all_repeats_equal,score_range,score_sd
claude,assurance,C-0D427C,A-01,3,True,0.0,0.0
claude,assurance,C-0D427C,A-02,3,True,0.0,0.0
claude,assurance,C-0D427C,A-03,3,True,0.0,0.0
claude,assurance,C-0D427C,A-04,3,True,0.0,0.0
claude,assurance,C-0D427C,A-05,3,True,0.0,0.0
claude,assurance,C-0D427C,A-06,3,True,0.0,0.0
claude,assurance,C-0E0B36,A-01,3,True,0.0,0.0
claude,assurance,C-0E0B36,A-02,3,True,0.0,0.0
claude,assurance,C-0E0B36,A-03,3,True,0.0,0.0
claude,assurance,C-0E0B36,A-04,3,True,0.0,0.0
claude,assurance,C-0E0B36,A-05,3,True,0.0,0.0
claude,assurance,C-0E0B36,A-06,3,True,0.0,0.0
claude,assurance,C-318DBB,A-01,3,False,1.0,0.5773502691896258
claude,assurance,C-318DBB,A-02,3,False,1.0,0.5773502691896258
claude,assurance,C-318DBB,A-03,3,True,0.0,0.0
claude,assurance,C-318DBB,A-04,3,True,0.0,0.0
claude,assurance,C-318DBB,A-05,3,False,1.0,0.5773502691896257
claude,assurance,C-318DBB,A-06,3,False,1.0,0.5773502691896258
claude,assurance,C-3AF023,A-01,3,False,1.0,0.5773502691896257
claude,assurance,C-3AF023,A-02,3,False,1.0,0.5773502691896257
claude,assurance,C-3AF023,A-03,3,False,1.0,0.5773502691896257
claude,assurance,C-3AF023,A-04,3,True,0.0,0.0
claude,assurance,C-3AF023,A-05,3,False,1.0,0.5773502691896257
claude,assurance,C-3AF023,A-06,3,True,0.0,0.0
claude,assurance,C-5C3C78,A-01,3,True,0.0,0.0
claude,assurance,C-5C3C78,A-02,3,True,0.0,0.0
claude,assurance,C-5C3C78,A-03,3,True,0.0,0.0
claude,assurance,C-5C3C78,A-04,3,False,1.0,0.5773502691896258
claude,assurance,C-5C3C78,A-05,3,True,0.0,0.0
claude,assurance,C-5C3C78,A-06,3,False,1.0,0.5773502691896257
claude,assurance,C-5C6BE3,A-01,3,True,0.0,0.0
claude,assurance,C-5C6BE3,A-02,3,True,0.0,0.0
claude,assurance,C-5C6BE3,A-03,3,True,0.0,0.0
claude,assurance,C-5C6BE3,A-04,3,True,0.0,0.0
claude,assurance,C-5C6BE3,A-05,3,True,0.0,0.0
claude,assurance,C-5C6BE3,A-06,3,True,0.0,0.0
claude,assurance,C-80D8E0,A-01,3,True,0.0,0.0
claude,assurance,C-80D8E0,A-02,3,True,0.0,0.0
claude,assurance,C-80D8E0,A-03,3,True,0.0,0.0
claude,assurance,C-80D8E0,A-04,3,True,0.0,0.0
claude,assurance,C-80D8E0,A-05,3,False,1.0,0.5773502691896257
claude,assurance,C-80D8E0,A-06,3,True,0.0,0.0
claude,assurance,C-9817DC,A-01,3,True,0.0,0.0
claude,assurance,C-9817DC,A-02,3,True,0.0,0.0
claude,assurance,C-9817DC,A-03,3,False,1.0,0.5773502691896257
claude,assurance,C-9817DC,A-04,3,True,0.0,0.0
claude,assurance,C-9817DC,A-05,3,False,1.0,0.5773502691896257
claude,assurance,C-9817DC,A-06,3,False,1.0,0.5773502691896257
claude,assurance,C-C758FC,A-01,3,True,0.0,0.0
claude,assurance,C-C758FC,A-02,3,False,1.0,0.5773502691896258
claude,assurance,C-C758FC,A-03,3,True,0.0,0.0
claude,assurance,C-C758FC,A-04,3,True,0.0,0.0
claude,assurance,C-C758FC,A-05,3,False,1.0,0.5773502691896257
claude,assurance,C-C758FC,A-06,3,False,1.0,0.5773502691896257
claude,assurance,C-C97D43,A-01,3,True,0.0,0.0
claude,assurance,C-C97D43,A-02,3,True,0.0,0.0
claude,assurance,C-C97D43,A-03,3,True,0.0,0.0
claude,assurance,C-C97D43,A-04,3,True,0.0,0.0
claude,assurance,C-C97D43,A-05,3,True,0.0,0.0
claude,assurance,C-C97D43,A-06,3,True,0.0,0.0
claude,assurance,C-D21BCD,A-01,3,True,0.0,0.0
claude,assurance,C-D21BCD,A-02,3,True,0.0,0.0
claude,assurance,C-D21BCD,A-03,3,False,1.0,0.5773502691896257
claude,assurance,C-D21BCD,A-04,3,False,1.0,0.5773502691896257
claude,assurance,C-D21BCD,A-05,3,True,0.0,0.0
claude,assurance,C-D21BCD,A-06,3,False,1.0,0.5773502691896257
claude,assurance,C-F9B3B8,A-01,3,True,0.0,0.0
claude,assurance,C-F9B3B8,A-02,3,True,0.0,0.0
claude,assurance,C-F9B3B8,A-03,3,True,0.0,0.0
claude,assurance,C-F9B3B8,A-04,3,True,0.0,0.0
claude,assurance,C-F9B3B8,A-05,3,True,0.0,0.0
claude,assurance,C-F9B3B8,A-06,3,True,0.0,0.0
claude,outcome,C-0D427C,O-01,3,True,0.0,0.0
claude,outcome,C-0D427C,O-02,3,False,1.0,0.5773502691896258
claude,outcome,C-0D427C,O-03,3,False,1.0,0.5773502691896258
claude,outcome,C-0D427C,O-04,3,True,0.0,0.0
claude,outcome,C-0D427C,O-05,3,False,1.0,0.5773502691896258
claude,outcome,C-0D427C,O-06,3,True,0.0,0.0
claude,outcome,C-0E0B36,O-01,3,True,0.0,0.0
claude,outcome,C-0E0B36,O-02,3,True,0.0,0.0
claude,outcome,C-0E0B36,O-03,3,True,0.0,0.0
claude,outcome,C-0E0B36,O-04,3,True,0.0,0.0
claude,outcome,C-0E0B36,O-05,3,False,1.0,0.5773502691896258
claude,outcome,C-0E0B36,O-06,3,False,1.0,0.5773502691896258
claude,outcome,C-318DBB,O-01,3,True,0.0,0.0
claude,outcome,C-318DBB,O-02,3,False,1.0,0.5773502691896258
claude,outcome,C-318DBB,O-03,3,False,1.0,0.5773502691896258
claude,outcome,C-318DBB,O-04,3,True,0.0,0.0
claude,outcome,C-318DBB,O-05,3,True,0.0,0.0
claude,outcome,C-318DBB,O-06,3,True,0.0,0.0
claude,outcome,C-3AF023,O-01,3,True,0.0,0.0
claude,outcome,C-3AF023,O-02,3,False,1.0,0.5773502691896257
claude,outcome,C-3AF023,O-03,3,True,0.0,0.0
claude,outcome,C-3AF023,O-04,3,True,0.0,0.0
claude,outcome,C-3AF023,O-05,3,True,0.0,0.0
claude,outcome,C-3AF023,O-06,3,True,0.0,0.0
claude,outcome,C-5C3C78,O-01,3,True,0.0,0.0
claude,outcome,C-5C3C78,O-02,3,True,0.0,0.0
claude,outcome,C-5C3C78,O-03,3,True,0.0,0.0
claude,outcome,C-5C3C78,O-04,3,True,0.0,0.0
claude,outcome,C-5C3C78,O-05,3,True,0.0,0.0
claude,outcome,C-5C3C78,O-06,3,True,0.0,0.0
claude,outcome,C-5C6BE3,O-01,3,True,0.0,0.0
claude,outcome,C-5C6BE3,O-02,3,True,0.0,0.0
claude,outcome,C-5C6BE3,O-03,3,True,0.0,0.0
claude,outcome,C-5C6BE3,O-04,3,True,0.0,0.0
claude,outcome,C-5C6BE3,O-05,3,True,0.0,0.0
claude,outcome,C-5C6BE3,O-06,3,True,0.0,0.0
claude,outcome,C-80D8E0,O-01,3,True,0.0,0.0
claude,outcome,C-80D8E0,O-02,3,True,0.0,0.0
claude,outcome,C-80D8E0,O-03,3,True,0.0,0.0
