Title,DOI,Open Access,source_file
An Automated Microfluidic System for Online Optimization in Chemical Synthesis,10.1021/op100123e,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
A MOF-membrane based on the covalent bonding driven assembly of a NMOF with an organic oligomer and its application in membrane reactors,10.1039/c6cc06427b,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
A nanoporous graphene analog for superfast heavy metal removal and continuous-flow visible-light photoredox catalysis,10.1039/c7ta05534j,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Multichannel quench-flow microreactor chip for parallel reaction monitoring,10.1039/b710680g,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
"A General, Green Chemistry Approach for Immobilization of Inorganic Catalysts in Monolithic Porous Flow-Reactors",10.1021/acssuschemeng.5b01541,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Catalytic Batch and Continuous Flow Production of Highly Enantioenriched Cyclohexane Derivatives with Polymer-Supported Diarylprolinol Silyl Ethers,10.1055/s-0030-1259528,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Amine-Functionalized Sugarcane Bagasse: A Renewable Catalyst for Efficient Continuous Flow Knoevenagel Condensation Reaction at Room Temperature,10.3390/molecules23010043,Yes,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Surface-Immobilized ZnN<sub><i>x</i></sub> Sites as High-Performance Catalysts for Continuous Flow Knoevenagel Condensation in Water,10.1021/acsami.3c14181,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
A Continuous‐Flow Microreactor for Knoevenagel Condensation of Ethyl Cyanoacetate with Benzaldehyde: The Effect of Grafted Amino Groups on Catalytic Activity,10.1002/cplu.202200390,Yes,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Synthesis of Curcumin Derivatives via Knoevenagel Reaction Within a Continuously Driven Microfluidic Reactor Using Polymeric Networks Containing Piperidine as a Catalyst,10.3390/gels11040278,Yes,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Bifunctionalised acid-base hierarchically structured monolithic microreactor for continuous-flow tandem catalytic process of cyanocinnamate synthesis,10.1038/s41598-024-77146-7,Yes,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Nanofibrillar Chitin Aerogels as Renewable Base Catalysts,10.1021/bm501320b,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Polystyrene-immobilized DABCO as a highly efficient and recyclable organocatalyst for the Knoevenagel condensation reaction,10.1039/c3ra43921f,No,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Organic porous heterogeneous composite with antagonistic catalytic sites as a cascade catalyst for continuous flow reaction,10.1039/d3sc03525e,Yes,paper_results_Knoevenagel_condensation_flow_chemistry_20260325_145819.xlsx
Development and Applications of a Practical Continuous Flow Microwave Cell,10.1021/op034181b,No,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Continuous Synthesis and Purification by Direct Coupling of a Flow Reactor with Simulated Moving‐Bed Chromatography,10.1002/anie.201202795,No,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
3D‐Printed Polypropylene Continuous‐Flow Column Reactors: Exploration of Reactor Utility in S<sub>N</sub>Ar Reactions and the Synthesis of Bicyclic and Tetracyclic Heterocycles,10.1002/ejoc.201701111,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
High-Throughput Experimentation and Continuous Flow Evaluation of Nucleophilic Aromatic Substitution Reactions,10.1021/acscombsci.9b00212,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Direct Uncatalyzed Amination of 2-Chloropyridine Using a Flow Reactor,10.1055/s-2007-985574,No,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Continuous Synthesis and Purification by Coupling a Multistep Flow Reaction with Centrifugal Partition Chromatography,10.1002/anie.201703852,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Continuous Flow Conditions for High Temperature Formation of a Benzodioxan Pharmaceutical Intermediate: Rapid Scaleup for Early Phase Material Delivery,10.1021/acs.oprd.9b00499,No,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Intelligent Chemical Synthesis in an Undergraduate Teaching Laboratory: Continuous Flow Synthesis of S<sub>N</sub>Ar Reaction with Automated Robot-Assisted Condition Screening,10.1021/acs.jchemed.4c01072,No,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Continuous Synthesis and Purification by Coupling a Multistep Flow Reaction with Centrifugal Partition Chromatography,10.1002/ange.201703852,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
"Early-Stage Flow Process Development of a Key Intermediate toward PF-07265807, an AXL-MER Inhibitor Oncology Candidate",10.1021/acs.oprd.4c00112,No,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Machine learning directed multi-objective optimization of mixed variable chemical systems,10.1016/j.cej.2022.138443,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Process intensification in continuous flow organic synthesis with enabling and hybrid technologies,10.3389/fceng.2022.966451,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Highly enantioselective synthesis of both tetrahydroquinoxalines and dihydroquinoxalinones<i>via</i>Rh–thiourea catalyzed asymmetric hydrogenation,10.1039/d3sc00803g,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Extending practical flow chemistry into the undergraduate curriculum via the use of a portable low-cost 3D printed continuous flow system,10.1007/s41981-020-00122-5,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Digitisation of a modular plug and play 3D printed continuous flow system for chemical synthesis,10.1039/d3dd00128h,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
In-flow enantioselective homogeneous organic synthesis,10.1515/gps-2021-0073,Yes,paper_results_SNAr_flow_reactor_continuous_20260325_150150.xlsx
Rapid Vortex Fluidics: Continuous Flow Synthesis of Amides and Local Anesthetic Lidocaine,10.1002/chem.201501785,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Pilot-Scale Continuous Production of LY2886721: Amide Formation and Reactive Crystallization,10.1021/op500204z,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Economically pertinent continuous amide formation by direct lipase‐catalyzed amidation with ammonia,10.1002/bit.10613,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Modular Continuous Flow Synthesis of Imatinib and Analogues,10.1021/acs.orglett.9b02259,Yes,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Small-Volume Continuous Manufacturing of Merestinib. Part 2. Technology Transfer and cGMP Manufacturing,10.1021/acs.oprd.8b00442,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Multistep synthesis of amides from alcohols and amines in continuous flow microreactor systems using oxygen and urea hydrogen peroxide as oxidants,10.1039/c3gc40407b,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
"Synthesis of Amines, Carbamates and Amides by Multi‐Step Continuous Flow Synthesis",10.1002/ejoc.201700906,Yes,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Direct amidation of acids in a screw reactor for the continuous flow synthesis of amides,10.1039/d3cc02402d,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
A two-step continuous flow synthesis of amides from alcohol using a metal-free catalyst,10.1039/c5ra20838f,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Continuous Flow Synthesis of Secondary Amides by Tandem Azidation- Amidation of Anilines,10.1055/s-0031-1291013,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Electrochemical Amide Bond Formation via Chemoselective Oxidation of Hemiaminals with Gold Electrocatalyst,10.1021/acselectrochem.4c00011,No,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
Continuous Flow Synthesis of α-Trifluoromethylthiolated Esters and Amides from Carboxylic Acids: a Telescoped Approach,10.1021/acs.joc.1c01270,Yes,paper_results_amide_bond_formation_continuous_flow_20260325_150343.xlsx
