series,bin_index,bin_left,bin_right,count
flow,1,0.8,5.76,1
flow,2,5.76,10.72,1
flow,3,10.72,15.68,0
flow,4,15.68,20.64,0
flow,5,20.64,25.6,0
flow,6,25.6,30.56,0
flow,7,30.56,35.52,2
flow,8,35.52,40.48,1
flow,9,40.48,45.44,4
flow,10,45.44,50.4,7
flow,11,50.4,55.36,9
flow,12,55.36,60.32,13
flow,13,60.32,65.28,12
flow,14,65.28,70.24,7
flow,15,70.24,75.2,18
flow,16,75.2,80.16,22
flow,17,80.16,85.12,23
flow,18,85.12,90.08,35
flow,19,90.08,95.04,51
flow,20,95.04,100.0,79
batch,1,0.3,5.285,4
batch,2,5.285,10.27,1
batch,3,10.27,15.255,1
batch,4,15.255,20.24,1
batch,5,20.24,25.225,3
batch,6,25.225,30.21,3
batch,7,30.21,35.195,2
batch,8,35.195,40.18,3
batch,9,40.18,45.165,5
batch,10,45.165,50.15,3
batch,11,50.15,55.135,8
batch,12,55.135,60.12,9
batch,13,60.12,65.105,2
batch,14,65.105,70.09,11
batch,15,70.09,75.075,6
batch,16,75.075,80.06,7
batch,17,80.06,85.045,9
batch,18,85.045,90.03,14
batch,19,90.03,95.015,22
batch,20,95.015,100.0,21
