source_node_id,target_node_id,source_category,target_category,weight
chemistry_class::Thermal Synthesis,reactor_type::Microreactor / Chip,chemistry_class,reactor_type,26
chemistry_class::Thermal Synthesis,reactor_material::Fluoropolymer (PTFE / PFA / FEP),chemistry_class,reactor_material,47
chemistry_class::Thermal Synthesis,bond_type::N–N,chemistry_class,bond_type,5
chemistry_class::Thermal Synthesis,light_source::None (dark / thermal),chemistry_class,light_source,90
chemistry_class::Thermal Synthesis,reactor_type::Continuous-Flow Reactor,chemistry_class,reactor_type,25
chemistry_class::Thermal Synthesis,reactor_material::Glass / Quartz,chemistry_class,reactor_material,10
chemistry_class::Thermal Synthesis,bond_type::C–N,chemistry_class,bond_type,32
chemistry_class::Thermal Synthesis,reactor_type::Tubular Flow Reactor,chemistry_class,reactor_type,8
chemistry_class::Thermal Synthesis,reactor_material::Stainless Steel,chemistry_class,reactor_material,28
chemistry_class::Thermal Synthesis,light_source::UV Lamp,chemistry_class,light_source,3
chemistry_class::Thermal Synthesis,reactor_type::Capillary / Coil Reactor,chemistry_class,reactor_type,18
chemistry_class::Thermal Synthesis,reactor_material::PDMS / Silicon,chemistry_class,reactor_material,4
chemistry_class::Thermal Synthesis,bond_type::C–C,chemistry_class,bond_type,15
chemistry_class::Thermal Synthesis,reactor_type::Packed-Bed Reactor,chemistry_class,reactor_type,8
chemistry_class::Thermal Synthesis,bond_type::C–H,chemistry_class,bond_type,4
chemistry_class::Thermal Synthesis,bond_type::C–O,chemistry_class,bond_type,11
chemistry_class::Thermal Synthesis,bond_type::C=C,chemistry_class,bond_type,4
reactor_type::Microreactor / Chip,reactor_material::Fluoropolymer (PTFE / PFA / FEP),reactor_type,reactor_material,47
reactor_type::Microreactor / Chip,bond_type::N–N,reactor_type,bond_type,5
reactor_type::Microreactor / Chip,light_source::None (dark / thermal),reactor_type,light_source,89
reactor_type::Microreactor / Chip,chemistry_class::Biocatalysis,reactor_type,chemistry_class,10
reactor_type::Microreactor / Chip,reactor_material::PDMS / Silicon,reactor_type,reactor_material,24
reactor_type::Microreactor / Chip,bond_type::C–N,reactor_type,bond_type,23
reactor_type::Microreactor / Chip,reactor_material::Glass / Quartz,reactor_type,reactor_material,24
reactor_type::Microreactor / Chip,chemistry_class::Precipitation / Crystallization,reactor_type,chemistry_class,4
reactor_type::Microreactor / Chip,chemistry_class::Organocatalysis,reactor_type,chemistry_class,5
reactor_type::Microreactor / Chip,bond_type::C–C,reactor_type,bond_type,27
reactor_type::Microreactor / Chip,reactor_material::PMMA,reactor_type,reactor_material,3
reactor_type::Microreactor / Chip,chemistry_class::Electrochemistry,reactor_type,chemistry_class,4
reactor_type::Microreactor / Chip,chemistry_class::Photoredox Catalysis,reactor_type,chemistry_class,12
reactor_type::Microreactor / Chip,light_source::Blue / Violet LED,reactor_type,light_source,14
reactor_type::Microreactor / Chip,bond_type::C–O,reactor_type,bond_type,16
reactor_type::Microreactor / Chip,chemistry_class::Photocycloaddition,reactor_type,chemistry_class,7
reactor_type::Microreactor / Chip,chemistry_class::Cross-Coupling,reactor_type,chemistry_class,7
reactor_type::Microreactor / Chip,chemistry_class::Oxidation / Reduction,reactor_type,chemistry_class,5
reactor_type::Microreactor / Chip,reactor_material::Stainless Steel,reactor_type,reactor_material,11
reactor_type::Microreactor / Chip,bond_type::C=O,reactor_type,bond_type,3
reactor_type::Microreactor / Chip,light_source::UV Lamp,reactor_type,light_source,11
reactor_type::Microreactor / Chip,chemistry_class::Hydrogenation,reactor_type,chemistry_class,4
reactor_type::Microreactor / Chip,bond_type::C–H,reactor_type,bond_type,7
reactor_type::Microreactor / Chip,chemistry_class::Polymer Synthesis,reactor_type,chemistry_class,7
reactor_type::Microreactor / Chip,bond_type::C–S,reactor_type,bond_type,4
reactor_type::Microreactor / Chip,chemistry_class::Heterogeneous Photocatalysis,reactor_type,chemistry_class,5
reactor_type::Microreactor / Chip,bond_type::C–F,reactor_type,bond_type,3
reactor_type::Microreactor / Chip,bond_type::C=C,reactor_type,bond_type,3
reactor_type::Microreactor / Chip,light_source::White / Other LED,reactor_type,light_source,3
reactor_material::Fluoropolymer (PTFE / PFA / FEP),bond_type::N–N,reactor_material,bond_type,9
reactor_material::Fluoropolymer (PTFE / PFA / FEP),light_source::None (dark / thermal),reactor_material,light_source,183
reactor_material::Fluoropolymer (PTFE / PFA / FEP),chemistry_class::Polymer Synthesis,reactor_material,chemistry_class,11
reactor_material::Fluoropolymer (PTFE / PFA / FEP),chemistry_class::Heterogeneous Photocatalysis,reactor_material,chemistry_class,16
reactor_material::Fluoropolymer (PTFE / PFA / FEP),reactor_type::Continuous-Flow Reactor,reactor_material,reactor_type,44
reactor_material::Fluoropolymer (PTFE / PFA / FEP),reactor_type::Capillary / Coil Reactor,reactor_material,reactor_type,110
reactor_material::Fluoropolymer (PTFE / PFA / FEP),bond_type::C–N,reactor_material,bond_type,37
reactor_material::Fluoropolymer (PTFE / PFA / FEP),chemistry_class::Hydrogenation,reactor_material,chemistry_class,12
reactor_material::Fluoropolymer (PTFE / PFA / FEP),reactor_type::Packed-Bed Reactor,reactor_material,reactor_type,15
