category_key,category_label,total_rules,rules_with_formula,percent_with_formula
residence_time,Residence Time,204,204,100.0
solvent,Solvent,72,72,100.0
temperature,Temperature,38,38,100.0
photochemistry,Photochemistry,175,175,100.0
concentration,Concentration,3,3,100.0
coupling_reactions,Coupling Reactions,5,5,100.0
carbene_transfer,Carbene Transfer,2,2,100.0
fluid_delivery,Fluid Delivery,1,1,100.0
reaction_conditions,Reaction Conditions,5,5,100.0
equipment,Equipment,1,1,100.0
longevity,Longevity,1,1,100.0
flow_pattern,Flow Pattern,1,1,100.0
phase_transfer_catalysis,Phase Transfer Catalysis,1,1,100.0
temperature_control,Temperature Control,1,1,100.0
biocatalysis,Biocatalysis,7,7,100.0
electrochemistry,Electrochemistry,33,33,100.0
flash_chemistry,Flash Chemistry,1,1,100.0
multi_step_synthesis,Multi Step Synthesis,2,2,100.0
reactor_design,Reactor Design,403,400,99.255583
mixing,Mixing,133,131,98.496241
safety,Safety,122,120,98.360656
mass_transfer,Mass Transfer,59,58,98.305085
heat_transfer,Heat Transfer,227,223,98.237885
scale_up,Scale-Up,157,154,98.089172
pressure,Pressure,134,130,97.014925
materials,Materials,165,160,96.969697
catalyst,Catalyst,226,214,94.690265
general,General,347,320,92.21902
nucleophilic_reactions,Nucleophilic Reactions,11,10,90.909091
