category_key,category_label,Photoredox Catalysis,Heterogeneous Photocatalysis,Photocycloaddition,Thermal Synthesis,Cross-Coupling,Hydrogenation,Oxidation / Reduction,Electrochemistry,Biocatalysis,Polymer Synthesis,Organocatalysis,Precipitation / Crystallization,row_total
reactor_design,Reactor Design,6,10,0,45,18,40,45,33,20,32,3,14,266
general,General,3,8,0,29,18,25,31,9,2,42,0,14,181
heat_transfer,Heat Transfer,1,1,1,171,29,44,41,2,2,23,1,3,319
catalyst,Catalyst,4,11,0,15,36,74,79,2,24,14,36,0,295
residence_time,Residence Time,2,4,0,53,30,22,31,2,6,26,6,3,185
photochemistry,Photochemistry,126,81,33,3,18,0,20,1,0,15,0,0,297
materials,Materials,4,7,2,6,8,12,17,8,7,21,0,3,95
scale_up,Scale-Up,6,6,1,14,11,16,13,3,3,16,1,8,98
pressure,Pressure,0,0,1,24,10,37,29,2,5,9,0,0,117
mixing,Mixing,1,2,0,5,6,14,16,3,1,8,2,5,63
safety,Safety,2,1,1,13,6,13,24,3,1,1,1,1,67
solvent,Solvent,4,4,0,12,12,9,9,4,2,6,1,4,67
mass_transfer,Mass Transfer,1,1,0,0,2,19,20,1,2,2,0,3,51
temperature,Temperature,0,0,0,19,11,4,6,1,1,0,2,0,44
electrochemistry,Electrochemistry,0,0,0,0,1,1,16,33,0,0,0,0,51
nucleophilic_reactions,Nucleophilic Reactions,0,0,0,1,3,0,0,0,0,0,0,0,4
biocatalysis,Biocatalysis,0,0,0,0,0,1,0,0,7,1,0,0,9
coupling_reactions,Coupling Reactions,0,0,0,0,5,0,0,0,0,0,0,0,5
reaction_conditions,Reaction Conditions,0,0,0,1,0,0,0,0,0,0,1,0,2
concentration,Concentration,0,0,0,1,2,2,2,0,0,0,0,0,7
