source_concept,target_concept,weight
heat transfer,surface-to-volume ratio,6
heat transfer,residence time,239
heat transfer,temperature gradient,217
heat transfer,mass transfer,25
heat transfer,mixing efficiency,36
heat transfer,photon flux,3
heat transfer,pressure drop,21
heat transfer,flow rate,12
heat transfer,Nusselt number (Nu),7
heat transfer,back pressure,13
heat transfer,temperature,27
temperature gradient,residence time,334
temperature gradient,flow rate,47
temperature gradient,pressure drop,63
temperature gradient,mixing efficiency,39
temperature gradient,mass transfer,48
temperature gradient,back pressure,39
temperature gradient,chemical compatibility,3
temperature gradient,pressure,4
temperature gradient,photon flux,14
temperature gradient,Nusselt number (Nu),3
reaction kinetics,mass transfer,3
pressure,temperature,28
pressure,residence time,14
pressure,flow rate,7
temperature,residence time,94
temperature,pressure drop,3
temperature,mass transfer,8
temperature,flow rate,15
temperature,mixing efficiency,6
temperature,photon flux,4
Damköhler number (Da),laminar flow,3
Damköhler number (Da),mass transfer,5
Damköhler number (Da),mixing efficiency,12
Damköhler number (Da),residence time,13
chemical compatibility,pressure drop,4
Bodenstein number (Bo),mixing efficiency,4
mass transfer,residence time,610
mass transfer,flow rate,109
mass transfer,Reynolds number (Re),13
mass transfer,laminar flow,17
mass transfer,mixing efficiency,151
mass transfer,pressure drop,100
mass transfer,surface-to-volume ratio,3
mass transfer,Péclet number (Pe),4
mass transfer,Taylor flow,7
mass transfer,light penetration depth,13
mass transfer,slug flow,15
mass transfer,back pressure,16
mass transfer,photon flux,23
reactor volume,residence time,5
reactor volume,flow rate,4
space-time yield,residence time,4
pressure drop,residence time,263
pressure drop,flow rate,145
pressure drop,viscosity,7
pressure drop,laminar flow,7
pressure drop,Reynolds number (Re),4
pressure drop,mixing efficiency,94
pressure drop,back pressure,76
pressure drop,slug flow,3
Péclet number (Pe),residence time,11
Péclet number (Pe),mixing efficiency,9
axial dispersion,residence time,3
Nusselt number (Nu),residence time,3
laminar flow,Reynolds number (Re),10
laminar flow,mixing efficiency,21
laminar flow,residence time,21
laminar flow,flow rate,12
laminar flow,slug flow,3
residence time,flow rate,477
residence time,mixing efficiency,455
residence time,Reynolds number (Re),8
residence time,slug flow,23
residence time,Taylor flow,3
residence time,back pressure,86
residence time,photon flux,127
residence time,light penetration depth,37
residence time,conversion,8
residence time,yield,3
residence time,viscosity,4
flow rate,mixing efficiency,220
flow rate,viscosity,5
flow rate,back pressure,40
flow rate,yield,4
flow rate,light penetration depth,3
flow rate,photon flux,13
flow rate,Reynolds number (Re),7
flow rate,current,4
light penetration depth,photon flux,90
light penetration depth,mixing efficiency,4
mixing efficiency,Reynolds number (Re),32
mixing efficiency,slug flow,21
mixing efficiency,Taylor flow,6
mixing efficiency,viscosity,5
mixing efficiency,back pressure,12
mixing efficiency,photon flux,17
photon flux,back pressure,7
Taylor flow,slug flow,5
