filename,doi,title,year,doi_source
000942902777679984,10.2533/000942902777679984,Chemical Synthesis in Microreactors,,doi_merged.csv
03602559.2012.700359,10.1080/03602559.2012.700359,Synthesis of Poly(ϵ-caprolactone) Microreactors from Freeze-Dried Microspheres,,doi_merged.csv
1.2391316,10.1115/1.2391316,Solar Disinfection Kinetic Design Parameters for Continuous Flow Reactors,,doi_merged.csv
1.4719921,10.1063/1.4719921,Design of a continuous-flow reactor for <i>in situ</i> x-ray absorption spectroscopy of solids in supercritical fluids,,doi_merged.csv
1.5030984,10.1063/1.5030984,Continuous flow microreactor for protein PEGylation,,doi_merged.csv
1846.2017.00009,10.1556/1846.2017.00009,Forbidden Chemistries — Paths to a Sustainable Future Engaging Continuous Processing,,doi_merged.csv
Abiev - 2022 - Chemical and Biochemical Reactors for Controlled Synthesis of Organic and Inorganic Compounds,10.1134/s1070427222110015,Chemical and Biochemical Reactors for Controlled Synthesis of Organic and Inorganic Compounds,2022,miner_title_match
Abou-Hassan 등 - 2012 - Synthesis of cobalt ferrite nanoparticles in continuous-flow microreactors,10.1039/c2ra21799f,Synthesis of cobalt ferrite nanoparticles in continuous-flow microreactors,2012,miner_title_match
"Armstrong 등 - 2024 - Early-Stage Flow Process Development of a Key Intermediate toward PF-07265807, an AXL-MER Inhibitor",10.1021/acs.oprd.4c00112,"Early-Stage Flow Process Development of a Key Intermediate toward PF-07265807, an AXL-MER Inhibitor Oncology Candidate",2024,miner_title_match
Avila 등 - 2022 - Automated stopped-flow library synthesis for rapid optimisation and machine learning directed experi,10.1039/d2sc03016k,Automated stopped-flow library synthesis for rapid optimisation and machine learning directed experimentation,2022,miner_title_match
B710680G,10.1039/b710680g,Multichannel quench-flow microreactor chip for parallel reaction monitoring,,doi_merged.csv
Bagi 등 - 2021 - A continuous flow chemistry approach for the ultrafast and low-cost synthesis of MOF-808,10.1039/d1gc02824c,A continuous flow chemistry approach for the ultrafast and low-cost synthesis of MOF-808,2021,miner_title_match
Bateni 등 - 2024 - Smart Dope A Self-Driving Fluidic Lab for Accelerated Development of Doped Perovskite Quantum Dots,10.1002/aenm.202302303,Smart Dope: A Self‐Driving Fluidic Lab for Accelerated Development of Doped Perovskite Quantum Dots,2023,crossref_api
Besenhard 등 - 2023 - High temperature flow synthesis of iron oxide nanoparticles Size tuning via reactor engineering,10.1515/gps-2016-0138,Synthesis of iron oxide nanoparticles in a continuous flow spiral microreactor and Corning <sup>®</sup> advanced flow™ reactor,2017,miner_title_match
"Borukhova 등 - 2016 - From alcohol to 1,2,3-triazole via a multi-step continuous-flow synthesis of a rufinamide precursor",10.1039/c6gc01133k,"From alcohol to 1,2,3-triazole via a multi-step continuous-flow synthesis of a rufinamide precursor",2016,miner_title_match
Boyall 등 - 2024 - Palladium nanoparticle deposition on spherical carbon supports for heterogeneous catalysis in contin,10.1039/d3cy01718d,Palladium nanoparticle deposition on spherical carbon supports for heterogeneous catalysis in continuous flow,2024,miner_title_match
