category,count,percent,rank_desc
Fluoropolymer (PTFE / PFA / FEP),272,58.6207,1
Glass / Quartz,61,13.1466,2
Stainless Steel,58,12.5,3
PDMS / Silicon,28,6.0345,4
PMMA,4,0.8621,5
Other,4,0.8621,6
Aluminum,4,0.8621,7
Hastelloy,2,0.431,8
Aluminum Nitride (AlN),1,0.2155,9
Aluminium,1,0.2155,10
MoS2/graphite felt,1,0.2155,11
Silica Monolith,1,0.2155,12
Methacrylic-based carriers,1,0.2155,13
Graphite / Metal,1,0.2155,14
Silica monolith,1,0.2155,15
Transparent PMMA,1,0.2155,16
3D printed plastic,1,0.2155,17
Ionic liquid droplet,1,0.2155,18
Polycarbonate or aluminum,1,0.2155,19
Hastelloy C276,1,0.2155,20
Hastelloy C-steel,1,0.2155,21
Silica,1,0.2155,22
Borosilicate,1,0.2155,23
Pd/C,1,0.2155,24
Agarose-based,1,0.2155,25
Copper,1,0.2155,26
Pd–Cu,1,0.2155,27
borosilicate glass,1,0.2155,28
Silicon Carbide,1,0.2155,29
Photosensitive resin,1,0.2155,30
Carbon Nitride,1,0.2155,31
UV-transparent tubing,1,0.2155,32
Aluminium Alloy 6061,1,0.2155,33
Fused Silica,1,0.2155,34
 polypropylene,1,0.2155,35
polypropylene,1,0.2155,36
Silica Gel,1,0.2155,37
COC (cyclo olefin polymer),1,0.2155,38
PEEK,1,0.2155,39
