series,yield_percent
flow,93.0
flow,83.0
flow,82.8
flow,80.0
flow,96.0
flow,88.0
flow,87.0
flow,60.0
flow,84.0
flow,91.0
flow,94.0
flow,99.0
flow,98.0
flow,86.0
flow,99.0
flow,98.0
flow,75.0
flow,90.5
flow,57.0
flow,64.4
flow,90.0
flow,99.8
flow,63.25
flow,96.82
flow,50.0
flow,84.0
flow,90.0
flow,87.0
flow,96.0
flow,100.0
flow,0.8
flow,95.0
flow,96.0
flow,87.0
flow,95.3
flow,98.0
flow,100.0
flow,92.0
flow,98.7
flow,100.0
flow,99.0
flow,93.0
flow,60.0
flow,99.0
flow,80.0
flow,37.0
flow,90.0
flow,90.0
flow,96.0
flow,53.0
flow,72.0
flow,88.0
flow,86.0
flow,90.0
flow,57.0
flow,99.8
flow,99.0
flow,78.8
flow,89.0
flow,94.0
flow,99.4
flow,93.8
flow,93.0
flow,99.0
flow,97.2
flow,75.0
flow,97.0
flow,87.0
flow,67.0
flow,71.0
flow,90.0
flow,53.0
flow,80.0
flow,90.9
flow,96.0
flow,82.0
flow,89.0
flow,60.0
flow,99.0
flow,82.0
flow,63.0
flow,62.0
flow,85.0
flow,96.0
flow,98.0
flow,79.0
flow,90.0
flow,49.0
flow,99.0
flow,99.0
flow,99.0
flow,93.0
flow,96.0
flow,99.0
flow,93.0
flow,83.0
flow,99.0
flow,95.0
flow,59.0
flow,34.0
flow,99.9
flow,85.0
flow,98.0
flow,74.0
flow,92.0
flow,73.0
flow,59.0
flow,75.0
flow,94.0
flow,89.0
flow,96.0
flow,91.0
flow,96.0
flow,70.0
flow,10.0
flow,81.0
flow,97.0
flow,100.0
flow,89.0
flow,99.0
flow,57.0
flow,95.0
flow,54.0
flow,97.0
flow,99.9
flow,95.0
flow,97.0
flow,100.0
flow,85.0
flow,81.0
flow,97.0
flow,97.0
flow,50.0
flow,80.9
flow,62.0
flow,100.0
flow,66.0
flow,50.0
flow,95.0
flow,89.0
flow,93.0
flow,95.0
flow,73.0
flow,89.0
flow,94.0
flow,94.0
flow,94.0
flow,43.0
flow,74.0
flow,90.0
flow,78.0
flow,78.0
flow,94.0
flow,91.0
flow,72.0
flow,99.0
flow,54.0
flow,97.0
flow,91.0
flow,95.0
flow,85.0
flow,93.0
flow,99.0
flow,63.0
flow,90.0
flow,53.0
flow,97.0
flow,100.0
flow,95.0
flow,76.0
flow,83.0
flow,95.0
flow,94.0
flow,100.0
flow,71.0
flow,94.0
flow,99.0
flow,95.0
flow,98.0
flow,98.0
flow,95.1
flow,97.0
flow,54.0
flow,92.0
flow,91.0
flow,77.0
flow,69.0
flow,52.0
flow,94.0
flow,85.0
flow,99.4
flow,60.0
flow,99.7
flow,91.0
flow,96.0
flow,75.0
flow,77.0
flow,58.0
flow,91.0
flow,93.0
flow,63.0
flow,89.0
flow,98.0
flow,90.0
flow,94.0
flow,50.0
flow,65.0
flow,95.0
flow,88.0
flow,79.0
flow,79.0
flow,91.0
flow,96.0
flow,96.0
flow,70.0
flow,94.0
flow,77.0
flow,65.0
flow,85.0
flow,88.0
flow,97.0
flow,76.0
flow,96.0
flow,99.3
flow,96.0
flow,78.0
flow,96.0
flow,71.0
flow,94.0
flow,89.0
flow,85.0
flow,96.0
flow,55.0
flow,96.0
flow,95.0
flow,70.0
flow,63.0
flow,58.0
flow,70.0
flow,91.0
flow,42.0
flow,75.0
flow,80.0
flow,81.0
flow,90.0
flow,31.2
flow,88.0
flow,99.0
flow,96.0
flow,92.0
flow,88.0
flow,75.0
flow,58.0
flow,85.0
flow,54.0
flow,43.0
flow,74.0
flow,99.0
flow,83.0
flow,88.0
flow,82.0
flow,80.0
flow,58.0
flow,94.0
flow,99.0
flow,44.0
flow,98.0
flow,47.0
flow,80.0
flow,77.0
flow,46.0
flow,78.0
flow,71.0
flow,78.0
flow,99.0
flow,82.0
flow,65.0
flow,77.0
flow,88.0
flow,88.0
flow,95.0
flow,100.0
flow,71.0
flow,65.0
flow,87.0
