node_id,category,label,count,x,y
chemistry_class::Thermal Synthesis,chemistry_class,Thermal Synthesis,96,-0.44662019,-0.12144631
reactor_type::Microreactor / Chip,reactor_type,Microreactor / Chip,121,-0.41217032,-0.10401708
reactor_material::Fluoropolymer (PTFE / PFA / FEP),reactor_material,Fluoropolymer (PTFE / PFA / FEP),272,-0.34873497,-0.12985511
bond_type::N–N,bond_type,N–N,13,-0.55973163,0.02154825
light_source::None (dark / thermal),light_source,None (dark / thermal),315,-0.39288473,-0.12840018
chemistry_class::Polymer Synthesis,chemistry_class,Polymer Synthesis,17,-0.39490353,0.08284982
reactor_type::freeze dryer,reactor_type,freeze dryer,1,0.75944108,-0.60624516
chemistry_class::Heterogeneous Photocatalysis,chemistry_class,Heterogeneous Photocatalysis,35,-0.30965213,0.04267448
reactor_type::Continuous-Flow Reactor,reactor_type,Continuous-Flow Reactor,71,-0.39875068,-0.04523209
reactor_material::Aluminum Nitride (AlN),reactor_material,Aluminum Nitride (AlN),1,-0.28095057,-0.8453339
chemistry_class::Biocatalysis,chemistry_class,Biocatalysis,27,-0.53311564,-0.10535698
reactor_material::PDMS / Silicon,reactor_material,PDMS / Silicon,28,-0.47461454,-0.23671897
bond_type::C–N,bond_type,C–N,70,-0.37562461,-0.0808925
reactor_material::Glass / Quartz,reactor_material,Glass / Quartz,61,-0.33382878,-0.08251961
chemistry_class::Precipitation / Crystallization,chemistry_class,Precipitation / Crystallization,9,-0.30651469,-0.44442498
bond_type::Fe3+-O-Co2+,bond_type,Fe3+-O-Co2+,1,0.22342649,-0.90018411
reactor_type::Plug Flow Reactor (PFR),reactor_type,Plug Flow Reactor (PFR),1,-0.51925464,0.80179305
bond_type::N–N and C–N,bond_type,N–N and C–N,1,0.91447138,0.43299725
chemistry_class::Cross-Coupling,chemistry_class,Cross-Coupling,32,-0.26684455,-0.21368302
reactor_type::Stopped-Flow Reactor,reactor_type,Stopped-Flow Reactor,1,0.94218643,-0.21314469
reactor_material::Aluminium,reactor_material,Aluminium,1,-0.89335288,0.01681291
chemistry_class::Organocatalysis,chemistry_class,Organocatalysis,20,-0.46115325,0.01693508
bond_type::C–C,bond_type,C–C,123,-0.30444284,-0.10288997
bond_type::Zr-O,bond_type,Zr-O,1,-0.50391196,0.74772728
reactor_type::Tubular Flow Reactor,reactor_type,Tubular Flow Reactor,24,-0.31624457,-0.26555304
reactor_material::Stainless Steel,reactor_material,Stainless Steel,58,-0.34822797,-0.03473918
light_source::UV Lamp,light_source,UV Lamp,57,-0.26920656,-0.0662466
reactor_type::Capillary / Coil Reactor,reactor_type,Capillary / Coil Reactor,122,-0.32645748,-0.15257957
chemistry_class::Hydrogenation,chemistry_class,Hydrogenation,15,-0.61097279,-0.15707701
reactor_type::Packed-Bed Reactor,reactor_type,Packed-Bed Reactor,27,-0.52185868,-0.19633101
bond_type::N–H,bond_type,N–H,4,-0.46708068,-0.59024934
reactor_type::Vortex Fluidic Device (VFD),reactor_type,Vortex Fluidic Device (VFD),1,0.92187739,-0.31816756
bond_type::C–O,bond_type,C–O,62,-0.3923757,-0.17441442
chemistry_class::Oxidation / Reduction,chemistry_class,Oxidation / Reduction,31,-0.39336661,-0.2503125
reactor_type::Photoreactor,reactor_type,Photoreactor,47,-0.21590766,-0.0654366
light_source::White / Other LED,light_source,White / Other LED,8,-0.06219198,0.01325692
reactor_material::PMMA,reactor_material,PMMA,4,-0.69988803,0.20908826
bond_type::ionic bond,bond_type,ionic bond,1,0.62477011,0.75853336
chemistry_class::Electrochemistry,chemistry_class,Electrochemistry,13,-0.32068422,-0.35418211
bond_type::S–O,bond_type,S–O,1,-0.08803695,-0.91102262
chemistry_class::Photoredox Catalysis,chemistry_class,Photoredox Catalysis,85,-0.22257403,-0.12492235
light_source::Blue / Violet LED,light_source,Blue / Violet LED,70,-0.26274451,-0.14078897
reactor_material::MoS2/graphite felt,reactor_material,MoS2/graphite felt,1,-0.65552436,-0.58752449
reactor_material::Silica Monolith,reactor_material,Silica Monolith,1,0.70206587,0.68422514
reactor_type::Variable-pressure flow reactor,reactor_type,Variable-pressure flow reactor,1,0.9907106,0.06709131
bond_type::C–H,bond_type,C–H,20,-0.56569548,-0.05086162
reactor_material::Methacrylic-based carriers,reactor_material,Methacrylic-based carriers,1,0.90711966,0.38258321
bond_type::N–O,bond_type,N–O,1,0.97926571,-0.02683582
reactor_type::MW flow reactor,reactor_type,MW flow reactor,1,0.54759649,-0.73599912
bond_type::C=C,bond_type,C=C,11,-0.64238687,-0.24073859
reactor_type::Batch reactor,reactor_type,Batch reactor,1,-0.831714,0.36661911
bond_type::Oxygen reduction,bond_type,Oxygen reduction,1,-0.85555385,-0.09986006
bond_type::C–S,bond_type,C–S,22,-0.16992863,-0.20774822
reactor_type::High-pressure microchannel reactor,reactor_type,High-pressure microchannel reactor,1,-0.11052439,0.93948056
bond_type::C=O,bond_type,C=O,8,-0.53137915,-0.36259541
reactor_type::Plug Flow Reactor,reactor_type,Plug Flow Reactor,2,-0.61919925,-0.64219816
reactor_type::Millifluidic,reactor_type,Millifluidic,1,0.85223121,0.54053554
bond_type::Mo-C,bond_type,Mo-C,1,0.04908664,0.96380866
bond_type::Cu–BTC coordination bond,bond_type,Cu–BTC coordination bond,1,0.64889648,-0.71231957
chemistry_class::Photocycloaddition,chemistry_class,Photocycloaddition,18,-0.22614608,0.02850508
reactor_material::Graphite / Metal,reactor_material,Graphite / Metal,1,0.38693893,0.91175598
reactor_material::Silica monolith,reactor_material,Silica monolith,1,-0.343225,-0.84127908
reactor_material::Transparent PMMA,reactor_material,Transparent PMMA,1,-0.85141316,-0.22279319
reactor_material::3D printed plastic,reactor_material,3D printed plastic,1,0.47608535,0.87080912
bond_type::Metal-halide bonds in perovskite structure,bond_type,Metal-halide bonds in perovskite structure,1,-0.90228418,0.07911448
reactor_type::Segmented Flow,reactor_type,Segmented Flow,1,-0.13644927,-0.89119945
reactor_type::Induction thermal plasma reactor,reactor_type,Induction thermal plasma reactor,1,-0.81901604,-0.35583422
bond_type::C–D,bond_type,C–D,1,0.97891308,-0.17707305
