category_key,category_label,chemistry_class,count
reactor_design,Reactor Design,Photoredox Catalysis,6
reactor_design,Reactor Design,Heterogeneous Photocatalysis,10
reactor_design,Reactor Design,Photocycloaddition,0
reactor_design,Reactor Design,Thermal Synthesis,45
reactor_design,Reactor Design,Cross-Coupling,18
reactor_design,Reactor Design,Hydrogenation,40
reactor_design,Reactor Design,Oxidation / Reduction,45
reactor_design,Reactor Design,Electrochemistry,33
reactor_design,Reactor Design,Biocatalysis,20
reactor_design,Reactor Design,Polymer Synthesis,32
reactor_design,Reactor Design,Organocatalysis,3
reactor_design,Reactor Design,Precipitation / Crystallization,14
general,General,Photoredox Catalysis,3
general,General,Heterogeneous Photocatalysis,8
general,General,Photocycloaddition,0
general,General,Thermal Synthesis,29
general,General,Cross-Coupling,18
general,General,Hydrogenation,25
general,General,Oxidation / Reduction,31
general,General,Electrochemistry,9
general,General,Biocatalysis,2
general,General,Polymer Synthesis,42
general,General,Organocatalysis,0
general,General,Precipitation / Crystallization,14
heat_transfer,Heat Transfer,Photoredox Catalysis,1
heat_transfer,Heat Transfer,Heterogeneous Photocatalysis,1
heat_transfer,Heat Transfer,Photocycloaddition,1
heat_transfer,Heat Transfer,Thermal Synthesis,171
heat_transfer,Heat Transfer,Cross-Coupling,29
heat_transfer,Heat Transfer,Hydrogenation,44
heat_transfer,Heat Transfer,Oxidation / Reduction,41
heat_transfer,Heat Transfer,Electrochemistry,2
heat_transfer,Heat Transfer,Biocatalysis,2
heat_transfer,Heat Transfer,Polymer Synthesis,23
heat_transfer,Heat Transfer,Organocatalysis,1
heat_transfer,Heat Transfer,Precipitation / Crystallization,3
catalyst,Catalyst,Photoredox Catalysis,4
catalyst,Catalyst,Heterogeneous Photocatalysis,11
catalyst,Catalyst,Photocycloaddition,0
catalyst,Catalyst,Thermal Synthesis,15
catalyst,Catalyst,Cross-Coupling,36
catalyst,Catalyst,Hydrogenation,74
catalyst,Catalyst,Oxidation / Reduction,79
catalyst,Catalyst,Electrochemistry,2
catalyst,Catalyst,Biocatalysis,24
catalyst,Catalyst,Polymer Synthesis,14
catalyst,Catalyst,Organocatalysis,36
catalyst,Catalyst,Precipitation / Crystallization,0
residence_time,Residence Time,Photoredox Catalysis,2
residence_time,Residence Time,Heterogeneous Photocatalysis,4
residence_time,Residence Time,Photocycloaddition,0
residence_time,Residence Time,Thermal Synthesis,53
