concept,frequency,dominant_category_key,dominant_category_label,x,y
heat transfer,329,heat_transfer,Heat Transfer,-0.07535207,-0.16250817
temperature gradient,460,heat_transfer,Heat Transfer,-0.09340688,-0.09683232
reaction kinetics,6,general,General,1.0,0.20424127
pressure,36,heat_transfer,Heat Transfer,0.22061206,-0.33305535
temperature,127,heat_transfer,Heat Transfer,0.10437782,-0.18494033
Damköhler number (Da),22,mixing,Mixing,0.19517262,0.29637766
chemical compatibility,9,materials,Materials,-0.75900061,-0.37730362
Bodenstein number (Bo),5,mixing,Mixing,-0.68404391,0.73202545
mass transfer,803,catalyst,Catalyst,0.00123902,0.04789875
reactor volume,5,residence_time,Residence Time,-0.14789782,-0.65482068
space-time yield,8,scale_up,Scale-Up,0.20746136,0.87737026
pressure drop,465,pressure,Pressure,-0.11347192,-0.02933707
surface-to-volume ratio,8,heat_transfer,Heat Transfer,0.10296352,-0.71634379
Péclet number (Pe),14,reactor_design,Reactor Design,0.07054563,0.44499728
axial dispersion,5,reactor_design,Reactor Design,0.60504219,-0.82945136
Nusselt number (Nu),7,heat_transfer,Heat Transfer,-0.40113061,-0.53874588
laminar flow,53,reactor_design,Reactor Design,-0.23450413,0.11413841
residence time,1814,reactor_design,Reactor Design,-0.02307489,-0.02111126
flow rate,663,general,General,0.02111799,-0.02112095
light penetration depth,103,photochemistry,Photochemistry,0.25272537,0.03828481
mixing efficiency,642,reactor_design,Reactor Design,-0.06951972,0.06924684
photon flux,198,photochemistry,Photochemistry,0.14018747,0.00050248
Taylor flow,13,reactor_design,Reactor Design,-0.22337879,0.51125729
slug flow,43,reactor_design,Reactor Design,-0.08094964,0.28627909
conversion,10,residence_time,Residence Time,-0.70972932,0.11540713
back pressure,170,pressure,Pressure,-0.00078503,-0.14305101
yield,8,catalyst,Catalyst,0.67452705,-0.24828728
viscosity,17,general,General,-0.47437435,-0.11815712
Reynolds number (Re),46,mixing,Mixing,-0.24274858,0.22871634
current,4,electrochemistry,Electrochemistry,0.73739615,0.50832315
